List of Anaheim Ducks players - Wikipedia
=========================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Andersen, Frederik | Denmark | 2013–2016
Askey, Tom | United States | 1997–1999
Bernier, Jonathan | Canada | 2016–2017
Berra, Reto | Switzerland | 2017-2018
Boyle, Kevin | United States | 2018–2019
Bryzgalov, Ilya | Russia | 2001–2008
Caron, Sebastien | Canada | 2006–2007
Deslauriers, Jeff | Canada | 2011–2012
Ellis, Dan | Canada | 2010–2012
Emery, Ray | Canada | 2010–2011
Fasth, Viktor | Sweden | 2012–2014
Gerber, Martin | Switzerland | 2002–2004
Gibson, John | United States | 2013–2019
Giguere, Jean-Sebastien | Canada | 2000–2010
Hebert, Guy | United States | 1993–2001
Hiller, Jonas | Switzerland | 2007–2014
Johnson, Chad | Canada | 2018–2019
Khudobin, Anton | Russia | 2015–2016
LaBarbera, Jason | Canada | 2014–2015
McElhinney, Curtis | Canada | 2009–2011
Miller, Ryan | United States | 2018–2019
Naumenko, Gregg | United States | 2000–2001
O'Neill, Mike | Canada | 1996–1997
Pielmeier, Timo | Germany | 2010–2011
Roussel, Dominic | Canada | 1998–2001
Shields, Steve | Canada | 2001–2002
Shtalenkov, Mikhail | Russia | 1993–1998
Tarkki, Iiro | Finland | 2011–2012
Tokarski, Dustin | Canada | 2016–2017
Tugnutt, Ron | Canada | 1993–1994
Wall, Michael | Canada | 2006–2007


Skaters
_______
Name     |     Nationality     |     Seasons
Aalto, Antti | Finland | 1997–2001
Aberg, Pontus | Sweden | 2018–2019
Allen, Bryan | Canada | 2012–2015
Antoski, Shawn | Canada | 1996–1998
Armstrong, Chris | Canada | 2003–2004
Artyukhin, Evgeny | Russia | 2009–2010
Balmochnykh, Maxim | Russia | 1999–2000
Banham, Frank | Canada | 1996–19981999–2000
Bannister, Drew | Canada | 1997–19982001–2002
Baumgartner, Ken | Canada | 1995–1997
Bawa, Robin | Canada | 1993–1994
Beauchemin, Francois | Canada | 2005–20092010–20152017–2018
Beleskey, Matt | Canada | 2008–2015
Bell, Mark | Canada | 2011–2012
Bellows, Brian | Canada | 1996–1997
Bergeron, Marc-Andre | Canada | 2007–2008
Bertuzzi, Todd | Canada | 2007–2008
Bets, Maxim | Russia | 1993–1994
Bieksa, Kevin | Canada | 2015–2018
Blacker, Jesse | Canada | 2014–2015
Blake, Jason | United States | 2009–2012
Blandisi, Joseph | Canada | 2017–2019
Bochenski, Brandon | United States | 2007–2008
Bodie, Troy | Canada | 2008–2011
Boll, Jared | United States | 2016–2018
Bonino, Nick | United States | 2009–2014
Bourque, Rene | Canada | 2014–2015
Boynton, Nick | Canada | 2009–2010
Brennan, Kip | Canada | 2005–2006
Brent, Tim | Canada | 2006–2007
Brewer, Eric | Canada | 2014–2015
Brimanis, Aris | United States | 2001–2002
Brookbank, Sheldon | Canada | 2008–2012
Brown, J.T. | United States | 2017–2018
Brown, Mike | Canada | 2002–2003
Brown, Mike S. | United States | 2008–2010
Burnett, Garrett | Canada | 2003–2004
Butsayev, Vyacheslav | Russia | 1995–1996
Bylsma, Dan | United States | 2000–2004
Calder, Kyle | Canada | 2009–2010
Campbell, Jim | United States | 1995–1996
Carnback, Patrik | Sweden | 1993–1996
Carney, Keith | United States | 2001–2006
Carrick, Sam | Canada | 2018–2019
Carter, Ryan | United States | 2006–2011
Chimera, Jason | Canada | 2017–2018
Chipchura, Kyle | Canada | 2009–2011
Chistov, Stanislav | Russia | 2002–20042006–2007
Chouinard, Marc | Canada | 2000–2003
Christensen, Erik | Canada | 2008–2010
