List of Boston Bruins players - Wikipedia
=========================================
Player name   |   Nationality   |   Years
George Abbott | Canada | 1943–1944
John Adams | Canada | 1972–1973
Rick Adduono | Canada | 1975–1976
Johnathan Aitken | Canada | 1999–2000
Andrew Alberts | United States | 2005–2008
Gary Aldcorn | Canada | 1960–1961
Bobby Allen | United States | 2006–2008
Jason Allison | Canada | 1996–2001
Bill "Red" Anderson | Canada | 1942–1943
Earl Anderson | United States | 1974–1977
Dave Andreychuk | Canada | 1999–2000
John Arbour | Canada | 1965–1968
Bob Armstrong | Canada | 1950–1962
Jamie Arniel | Canada | 2010–2011
Scott Arniel | Canada | 1991–1992
Barry Ashbee | Canada | 1965–1966
Brent Ashton | Canada | 1991–1993
Steve Atkinson | Canada | 1968–1969
Oscar Aubuchon | Canada | 1942–1944
Alex Auld | Canada | 2007–2008
Don Awrey | Canada | 1963–1973
P. J. Axelsson | Sweden | 1997–2009
Pete Babando | United States | 1947–1949
Ace Bailey | Canada | 1968–1973
Scott Bailey | Canada | 1995–1997
Mike Bales | Canada | 1992–1993
Murray Balfour | Canada | 1964–1965
Stan Baluik | Canada | 1959–1960
Darren Banks | Canada | 1992–1994
Ralph Barahona | United States | 1990–1992
Marco Baron | Canada | 1979–1983
Dave Barr | Canada | 1981–1983
Eddie Barry | United States | 1946–1947
Marty Barry | Canada | 1929–1935
Ray Barry | United States | 1951–1952
Matt Bartkowski | United States | 2010–2015
Jim Bartlett | Canada | 1960–1961
Shawn Bates | United States | 1997–2001
Bobby Bauer | Canada | 1935–1952
Ken Baumgartner | Canada | 1997–1999
Jack "Red" Beattie | United Kingdom | 1930–1938
Bob Beckett | Canada | 1956–1964
Clayton Beddoes | Canada | 1995–1997
Bob Beers | United States | 1989–1997
Steve Begin | Canada | 2009–2010
Ken Belanger | Canada | 1998–2001
Yves Belanger | Canada | 1979–1980
Bill Bennett | United States | 1978–1979
Harvey Bennett | Canada | 1944–1945
Bobby Benson | Canada | 1924–1925
Paul Beraldo | Canada | 1987–1989
Bryan Berard | United States | 2002–2003
Patrice Bergeron | Canada | 2003–2018
Daniel Berthiaume | Canada | 1991–1992
Phil Bessler | Canada | 1935–1936
Silvio "Sam" Bettio | Canada | 1949–1950
Nick Beverley | Canada | 1966–1974
Paul Bibeault | Canada | 1944–1946
Craig Billington | Canada | 1994–1996
Jack Bionda | Canada | 1956–1959
Dick Bittner | United States | 1949–1950
Byron Bitz | Canada | 2008–2010
Don Blackburn | Canada | 1962–1963
Bob Blake | United States | 1935–1936
Zdenek Blatny | Czech Republic | 2005–2006
John Blue | United States | 1992–1994
John Blum | United States | 1983–1990
Brandon Bochenski | United States | 2006–2008
Gus Bodnar | Canada | 1953–1955
Andrew Bodnarchuk | Canada | 2009–2010
Leo Boivin | Canada | 1954–1966
Ivan Boldirev | Serbia | 1970–1972
Frank "Buzz" Boll | Canada | 1942–1944
Marcel Bonin | Canada | 1955–1956
Dennis Bonvie | Canada | 2001–2002
Buddy Boone | Canada | 1956–1958
Bill Boucher | Canada | 1926–1927
Fred Bourdginon | Canada | 1925–1926
Chris Bourque | United States | 2012–2013
Ray Bourque | Canada | 1979–2000
Paul Boutilier | Canada | 1986–1987
Johnny Boychuk | Canada | 2008–2014
Irwin Boyd | United States | 1931–1944
Brad Boyes | Canada | 2005–2007
Nick Boynton | Canada | 1999–2006
John Brackenborough | Canada | 1925–1926
Barton Bradley | Canada | 1949–1950
Rich Brennan | United States | 2002–2003
Tom Brennan | United States | 1943–1945
Andy Brickley | United States | 1988–1992
Archie Briden | Canada | 1926–1927
Frank Brimsek | United States | 1938–1949
Ken Broderick | Canada | 1973–1975
Wade Brookbank | Canada | 2006–2007
Ross Brooks | Canada | 1972–1975
Adam Brown | United Kingdom | 1951–1952
Sean Brown | Canada | 2001–2003
Wayne "Weiner" Brown | Canada | 1953–1954
Gordon Bruce | Canada | 1940–1946
Ron Buchanan | Canada | 1966–1967
Johnny Bucyk | Canada | 1957–1978
Billy Burch | United States | 1932–1933
Eddie Burke | Canada | 1931–1932
Charlie Burns | United States | 1959–1963
Randy Burridge | Canada | 1985–1991
John Byce | United States | 1989–1992
Gordie Byers | Canada | 1949–1950
Lyndon Byers | Canada | 1983–1992
Jack Caffery | Canada | 1956–1958
Charles Cahill | Canada | 1925–1926
Herbert Cain | Canada | 1939–1946
Norm Calladine | Canada | 1942–1945
Gregory Campbell | Canada | 2010–2015
Wade Campbell | Canada | 1985–1988
Carter Camper | United States | 2011–2012
