List of Calgary Flames players - Wikipedia
==========================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Niklas Backstrom | Finland | 2015–2016
Tim Bernhardt | Canada | 1982–1983
Reto Berra | Switzerland | 2013–2014
Dan Bouchard | Canada | 1980–1981
Brian Boucher | United States | 2005–2006
Fred Brathwaite | Canada | 1998–2001
Marc D'Amour | Canada | 1985–1986
Doug Dadswell | Canada | 1986–1988
Don Edwards | Canada | 1982–1985
Brian Elliott | Canada | 2016–2017
Grant Fuhr | Canada | 1999–2000
Tyrone Garner | Canada | 1998–1999
Jean-Sebastien Giguere | Canada | 1998–2000
Jon Gillies | United States | 2016–2018
Steve Guenette | Canada | 1989–1991
Jonas Hiller | Switzerland | 2014–2016
Leland Irving | Canada | 2011–2013
Chad Johnson | Canada | 2016–2017
Curtis Joseph | Canada | 2007–2008
Henrik Karlsson | Sweden | 2010–2012
Matt Keetley | Canada | 2007–2008
Trevor Kidd | Canada | 1991–1997
Miikka Kiprusoff | Finland | 2003–2013
Eddie Lack | Sweden | 2017–2018
Rejean Lemelin | Canada | 1980–1987
Joey MacDonald | Canada | 2012–2014
Curtis McElhinney | Canada | 2007–2010
Jamie McLennan | Canada | 2002–20042006–2007
Tyler Moss | Canada | 1997–1999
Jason Muzzatti | Canada | 1993–1995
Joni Ortio | Finland | 2013–2016
Karri Ramo | Finland | 2013–2016
Jeff Reese | Canada | 1991–1994
Pat Riggin | Canada | 1980–1982
David Rittich | Czech Republic | 2016–2019
Dwayne Roloson | Canada | 1996–1998
Dany Sabourin | Canada | 2003–2004
Philippe Sauve | United States | 2005–2006
Scott Sharples | Canada | 1991–1992
Mike Smith | Canada | 2017–2019
Rick Tabaracci | Canada | 1994–1998
Danny Taylor | Canada | 2012–13
Andrei Trefilov | Russia | 1992–19951998–1999
Vesa Toskala | Finland | 2009–2010
Roman Turek | Czech Republic | 2001–2004
Mike Vernon | Canada | 1982–19942000–2002
Rick Wamsley | Canada | 1987–1992
Ken Wregget | Canada | 1998–1999


Skaters
_______
Name     |     Nationality     |     Seasons
Agostino, Kenny | United States | 2013–2016
Ahola, Peter | Finland | 1993–1994
Albelin, Tommy | Sweden | 1995–2001
Aliu, Akim | Canada | 2011–2013
Allison, Jamie | Canada | 2001–2002
Amonte, Tony | United States | 2005–2007
Andersson, Erik | Sweden | 1997–1998
Andersson, Niklas | Sweden | 2000–2001
Andersson, Rasmus | Sweden | 2016–2019
Arnold, Bill | United States | 2013–2016
Ashton, Brent | Canada | 1992–1993
Aucoin, Adrian | Canada | 2007–2009
Babchuk, Anton | Russia | 2010–2013
Backlund, Mikael | Sweden | 2008–2019
Bancks, Carter | Canada | 2012–2014
Bartell, Robin | Canada | 1985–1986
Bartkowski, Matt | Canada | 2016–2018
Baertschi, Sven | Switzerland | 2011–2015
Bassen, Bob | Canada | 1998–1999
Baxter, Paul | Canada | 1983–1987
Beers, Eddy | Netherlands | 1981–1986
Begin, Steve | Canada | 1997–19981999–20032012–2013
Belak, Wade | Canada | 1998–2001
Bennett, Sam | Canada | 2014–2019
Berezan, Perry | Canada | 1984–1989
Bergqvist, Jonas | Sweden | 1989–1990
Bertuzzi, Todd | Canada | 2008–2009
Berube, Craig | Canada | 2001–2003
Betts, Blair | Canada | 2001–2004
Billins, Chad | United States | 2013–2015
Bodak, Bob | Canada | 1987–1988
Bolduc, Dan | United States | 1983–1984
Bollig, Brandon | United States | 2014–2017
Borschevsky, Nikolai | Russia | 1994–1995
Botterill, Jason | Canada | 1999–20002001–2002
Bouchard, Joel | Canada | 1994–1998
Boughner, Bob | Canada | 2001–2003
Bouma, Lance | Canada | 2010–2017
Bourgeois, Charlie | Canada | 1981–1986
Bourque, Rene | Canada | 2008–2012
Bouwmeester, Jay | Canada | 2009–2013
Boyd, Dustin | Canada | 2006–2010
Bozek, Steve | Canada | 1983–1988
Bradley, Brian | Canada | 1985–1988
Breen, Chris | Canada | 2013–2014
Bridgman, Mel | Canada | 1981–1983
Brigley, Travis | Canada | 1997–2000
Brodie, T. J. | Canada | 2010–2019
Brouwer, Troy | Canada | 2016–2018
Brubaker, Jeff | United States | 1983–1984
Bucyk, Randy | Canada | 1987–1988
Bullard, Mike | Canada | 1986–1988
Bure, Valeri | Russia | 1997–2001
Bureau, Marc | Canada | 1989–19911999–2000
Butler, Chris | United States | 2011–2014
Buzek, Petr | Czech Republic | 2001–2003
Byron, Paul | Canada | 2011–2015
Cammalleri, Mike | Canada | 2008–20092011–2014
Carson, Brett | Canada | 2010–2013
Cassels, Andrew | Canada | 1997–1999
Cavallini, Gino | Canada | 1984–1986
Cervenka, Roman | Czech Republic | 2012–2013
Charron, Eric | Canada | 1997–2000
Chernomaz, Rich | Canada | 1987–19891991–1992
Chiasson, Steve | Canada | 1994–1997
Chorske, Tom | United States | 1998–1999
Chouinard, Guy | Canada | 1980–1983
Chiasson, Alex | Canada | 2016–2017
Christie, Ryan | Canada | 2001–2002
Christoff, Steve | United States | 1982–1983
Chucko, Kris | Canada | 2008–2009
Churla, Shane | Canada | 1987–1989
Clark, Chris | United States | 1999–2004
