List of Colorado Avalanche players - Wikipedia
==============================================
Goaltenders
___________
Name     |     Nat     |     Seasons
Aebischer, David | Switzerland | 2000–2006
Aittokallio, Sami | Finland | 2012–2014
Anderson, Craig | United States | 2009–2011
Bernier, Jonathan | Canada | 2017–2018
Berra, Reto | Switzerland | 2013–2016
Billington, Craig | Canada | 1996–1999
Budaj, Peter | Slovakia | 2005–2011
Denis, Marc | Canada | 1996–2000
Elliott, Brian | Canada | 2010–2011
Fiset, Stephane | Canada | 1995–1996
Francouz, Pavel | Czech Republic | 2018–2019
Giguere, Jean-Sebastien | Canada | 2011–2014
Grubauer, Philipp | Germany | 2018–2019
Hammond, Andrew | Canada | 2017–2018
Kolesnik, Vitali | Kazakhstan | 2005–2006
Martin, Spencer | Canada | 2016–2017
Pickard, Calvin | Canada | 2014–2017
Raycroft, Andrew | Canada | 2008–2009
Roy, Patrick | Canada | 1995–2003
Salo, Tommy | Sweden | 2003–2004
Sauve, Philippe | United States | 2003–2004
Smith, Jeremy | United States | 2016–2017
Tabaracci, Rick | Canada | 1999–2000
Theodore, Jose | Canada | 2005–2008
Thibault, Jocelyn | Canada | 1995–1996
Varlamov, Semyon | Russia | 2011–2019
Weiman, Tyler | Canada | 2007–2008


Skaters
_______
Name     |     Nat     |     Seasons
Agozzino, Andrew | Canada | 2014–20162018–2019
Alt, Mark | United States | 2017–2019
Andreychuk, Dave | Canada | 1999–2000
Andrighetto, Sven | Switzerland | 2016–2019
Arnason, Tyler | United States | 2006–2009
Aubin, Serge | Canada | 1998–20002002–2003
Babenko, Yuri | Russia | 2000–2001
Barberio, Mark | Canada | 2016–2019
Barnaby, Matthew | Canada | 2003–2004
Barrie, Tyson | Canada | 2011–2019
Battaglia, Bates | United States | 2002–2004
Beauchemin, Francois | Canada | 2015–2017
Belak, Wade | Canada | 1996–1999
Belle, Shawn | Canada | 2010–2011
Benoit, Andre | Canada | 2013–2014
Berry, Rick | Canada | 2000–2002
Bigras, Chris | Canada | 2015–2018
Blake, Rob | Canada | 2000–2006
Bodnarchuk, Andrew | Canada | 2015–2016
Boedker, Mikkel | Denmark | 2015–2016
Bonvie, Dennis | Canada | 2003–2004
Bordeleau, Patrick | Canada | 2012–2015
Boughner, Bob | Canada | 2003–2006
Bourque, Gabriel | Canada | 2016–2019
Bourque, Ray | Canada | 1999–2001
Bourque, Rene | Canada | 2016–2017
Boychuk, Johnny | Canada | 2007–2008
Brassard, Derick | Canada | 2018–2019
Brennan, Rich | United States | 1996–1997
Briere, Daniel | Canada | 2014–2015
Brigley, Travis | Canada | 2003–2004
Brisebois, Patrice | Canada | 2005–2007
Brophey, Evan | Canada | 2011–2012
Brousseau, Paul | Canada | 1995–1996
Brule, Steve | Canada | 2002–2003
Brunette, Andrew | Canada | 2005–2008
Buchanan, Jeff | Canada | 1998–1999
Calvert, Matt | Canada | 2018–2019
Carey, Paul | United States | 2013–2015
Caron, Jordan | Canada | 2014–2015
Clark, Brett | Canada | 2003–2010
Cliche, Marc-Andre | Canada | 2013–2015
Cohen, Colby | United States | 2010–2011
Colborne, Joe | Canada | 2016–2017
Cole, Ian | United States | 2018–2019
Comeau, Blake | Canada | 2015–2018
Compher, J. T. | United States | 2016–2019
Connolly, Mike | Canada | 2011–2012
Corbet, Rene | Canada | 1995–1999
Crowley, Ted | United States | 1998–1999
Cumiskey, Kyle | Canada | 2006–2011
Cummins, Jim | United States | 2003–2004
Dano, Marko | Slovakia | 2018–2019
Daw, Jeff | Canada | 2001–2002
Deadmarsh, Adam | Canada | 1995–2001
de Vries, Greg | Canada | 1998–2003
Dingman, Chris | Canada | 1998–2001
Donovan, Shean | Canada | 1997–2000
Dowd, Jim | United States | 2005–2006
Downie, Steve | Canada | 2011–2013
Dries, Sheldon | United States | 2018–2019
Drury, Chris | United States | 1998–2002
Duchene, Matt | Canada | 2009–2018
Dupuis, Philippe | Canada | 2008–2011
Durno, Chris | Canada | 2008–2010
Elliott, Stefan | Canada | 2011–2015
Everberg, Dennis | Sweden | 2014–2016
Fairchild, Kelly | United States | 2001–2002
Finger, Jeff | United States | 2006–2008
Fitzgerald, Tom | United States | 1997–1998
Fleischmann, Tomas | Czech Republic | 2010–2011
Fleury, Theo | Canada | 1998–1999
Foote, Adam | Canada | 1995–20042007–2011
Forsberg, Peter | Sweden | 1995–20042007–20082010–2011
Galiardi, TJ | Canada | 2008–2012
Gaul, Mike | Canada | 1998–1999
Gaunce, Cameron | Canada | 2010–2011
Gelinas, Eric | Canada | 2015–2017
Gill, Todd | Canada | 2001–2002
Girard, Samuel | Canada | 2017–2019
Goloubef, Cody | Canada | 2016–2017
Gormley, Brandon | Canada | 2015–2016
Gratton, Chris | Canada | 2003–2004
Graves, Ryan | Canada | 2018–2019
Greer, A. J. | Canada | 2016–2019
Grigorenko, Mikhail | Russia | 2015–2017
Grimaldi, Rocco | United States | 2016–2018
Guenin, Nate | United States | 2013–2016
Guite, Ben | Canada | 2006–2009
Gusarov, Alexei | Russia | 1995–2001
Hahl, Riku | Finland | 2001–2004
Hamilton, Freddie | Canada | 2014–2015
Hannan, Dave | Canada | 1995–1996
Hannan, Scott | Canada | 2007–2011
Haydar, Darren | Canada | 2009–2010
Healey, Paul | Canada | 2005–2006
Hejda, Jan | Czech Republic | 2011–2015
Hejduk, Milan | Czech Republic | 1998–2013
Helenius, Sami | Finland | 1999–2000
Hendricks, Matt | United States | 2008–2010
Hendrickson, Darby | United States | 2003–2004
Henley, Samuel | Canada | 2016–2017
Hensick, T. J. | United States | 2007–2010
Hinote, Dan | United States | 1999–2006
Hishon, Joey | Canada | 2013–2015
Hlinka, Jaroslav | Czech Republic | 2007–2008
Holden, Nick | Canada | 2013–2016
Holos, Jonas | Norway | 2010–2011
Hunter, Dale | Canada | 1998–1999
Hunwick, Matt | United States | 2010–2014
Iginla, Jarome | Canada | 2014–2017
Johnson, Erik | United States | 2010–2019
Jones, David | Canada | 2007–2013
Jones, Keith | Canada | 1996–1999
Jost, Tyson | Canada | 2016–2019
Kamenev, Vladislav | Russia | 2017–2019
Kamensky, Valeri | Russia | 1995–1999
Kariya, Paul | Canada | 2003–2004
Kasparaitis, Darius | Lithuania | 2001–2002
Keane, Mike | Canada | 1995-19972001–2003
Kerfoot, Alexander | Canada | 2017–2019
Klee, Ken | United States | 2006–2007
Klemm, Jon | Canada | 1995–2001
Kobasew, Chuck | United States | 2011–2013
Koci, David | Czech Republic | 2009–2011
Konowalchuk, Steve | United States | 2003–2006
Kovalenko, Andrei | Russia | 1995–1996
Krestanovich, Jordan | Canada | 2001–2004
Krupp, Uwe | Germany | 1995–1998
Kuleshov, Mikhail | Russia | 2003–2004
Kurri, Jari | Finland | 1997–1998
Laaksonen, Antti | Finland | 2005–2007
Lacroix, Eric | Canada | 1996–1999
Landeskog, Gabriel | Sweden | 2011–2019
Laperriere, Ian | Canada | 2005–2009
Lapointe, Claude | Canada | 1995–1996
Larsen, Brad | Canada | 1997–2004
Laukkanen, Janne | Finland | 1995–1996
Ledin, Per | Sweden | 2008–2009
Lefebvre, Sylvain | Canada | 1995–1999
Lemieux, Claude | Canada | 1995–2000
Leopold, Jordan | United States | 2006–2009
Leroux, Francois | Canada | 1997–1998
Leschyshyn, Curtis | Canada | 1995–1997
Liffiton, David | Canada | 2010–2011
Liles, John-Michael | United States | 2003–2011
Lindholm, Anton | Sweden | 2016–2019
Lindstrom, Joakim | Sweden | 2011–2012
Macias, Ray | United States | 2008–2011
MacKenzie, Aaron | Canada | 2008–2009
MacKinnon, Nathan | Canada | 2013–2019
Malone, Brad | Canada | 2011–2014
Marchment, Bryan | Canada | 2002–2003
Marha, Josef | Czech Republic | 1995–1998
Martinsen, Andreas | Norway | 2015–2017
