List of Dallas Stars players - Wikipedia
========================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Alex Auld | Canada | 2009–2010
Richard Bachman | United States | 2010–2013
Ed Belfour | Canada | 1997–2002
Allan Bester | Canada | 1995–1996
Ben Bishop | United States | 2017–2019
Landon Bow | Canada | 2018–2019
Jack Campbell | United States | 2013–2014
Matt Climie | Canada | 2008–2010
Dan Ellis | Canada | 2003–20042013–2014
Jhonas Enroth | Sweden | 2014–2015
Manny Fernandez | Canada | 1994–2000
Johan Hedberg | Sweden | 2005–2006
Corey Hirsch | Canada | 2002–2003
Johan Holmqvist | Sweden | 2007–2008
Arturs Irbe | Latvia | 1996–1997
Anton Khudobin | Kazakhstan | 2018–2019
Brent Krahn | Canada | 2008–2009
Kari Lehtonen | Finland | 2009–2018
Anders Lindback | Sweden | 2014–2015
Mike McKenna | United States | 2017–2018
Andy Moog | Canada | 1993–1997
Antti Niemi | Finland | 2015–2017
Cristopher Nihlstorp | Sweden | 2012–2014
Andrew Raycroft | Canada | 2010–2012
Jussi Rynnas | Finland | 2014–2015
Mike Smith | Canada | 2006–2008
Tobias Stephan | Switzerland | 2007–2009
Mike Torchia | Canada | 1994–1995
Ron Tugnutt | Canada | 2002–2004
Marty Turco | Canada | 2000–2010
Roman Turek | Czech Republic | 1996–1999
Darcy Wakaluk | Canada | 1993–1996
Jordan Willis | Canada | 1995–1996


Skaters
_______
Name     |     Nationality     |     Seasons
Greg Adams | Canada | 1994—1998
Keith Aldridge | United States | 1999—2000
Jason Arnott | Canada | 2001—2006
Donald Audette | Canada | 2001—2002
Sean Avery | Canada | 2008—2009
Krys Barch | Canada | 2006—2012
Matthew Barnaby | Canada | 2006—2007
Stu Barnes | Canada | 2002—2008
Dave Barr | Canada | 1993—1994
Bob Bassen | Canada | 1995—1998
Nolan Baumgartner | Canada | 2006—2007
Gavin Bayreuther | United States | 2018—2019
Steve Begin | Canada | 2008—2009
Jamie Benn | Canada | 2009—2019
Jordie Benn | Canada | 2011—2017
Brad Berry | Canada | 1993—1994
James Black | Canada | 1993—1994
Nikolai Borschevsky | Russia | 1995—1996
Jason Botterill | Canada | 1997—1999
Joel Bouchard | Canada | 1999—2000
Philippe Boucher | Canada | 2002—2009
Tyler Bouck | Canada | 2000—2001
Zac Boyer | Canada | 1994—1996
Neil Brady | Canada | 1993—1994
Neal Broten | United States | 1993—19951996—1997
Paul Broten | United States | 1993—1995
Rob Brown | Canada | 1993—1994
Benoit Brunet | Canada | 2001—2002
Fabian Brunnstrom | Sweden | 2008—2010
Valeri Bure | Russia | 2003—2004
Adam Burish | United States | 2010—2012
Petr Buzek | Czech Republic | 1997—1999
Guy Carbonneau | Canada | 1995—2000
Connor Carrick | United States | 2018—2019
Paul Cavallini | Canada | 1993—1996
Shawn Chambers | United States | 1997—2000
Alex Chiasson | United States | 2012—2014
Ryan Christie | Canada | 1999—2000
Shane Churla | Canada | 1993—1996
Andrew Cogliano | Canada | 2018—2019
Erik Cole | United States | 2012—2015
Blake Comeau | Canada | 2018—2019
Erik Condra | United States | 2018—2019
Kevin Connauton | Canada | 2013—2015
Chris Conner | United States | 2006—2009
Shayne Corson | Canada | 2003—2004
Patrick Cote | Canada | 1995—1998
Sylvain Cote | Canada | 1999—2000
Russ Courtnall | Canada | 1993—1995
Adam Cracknell | Canada | 2016—2018
Mike Craig | Canada | 1993—1994
B. J. Crombeen | United States | 2007—2009
Ulf Dahlen | Sweden | 1993—19942002—2003
Trevor Daley | Canada | 2003—2015
Kevin Dean | United States | 1999—2000
Jason Demers | Canada | 2014—2016
Jason Dickinson | Canada | 2015—2019
Gerald Diduck | Canada | 2000—2001
Brenden Dillon | Canada | 2011—2015
Rob DiMaio | Canada | 2001—2004
Ted Donato | United States | 2000—2001
Gord Donnelly | Canada | 1993—1995
Mike Donnelly | United States | 1994—1996
Peter Douris | Canada | 1997—1998
Jake Dowell | United States | 2011—2012
Justin Dowling | Canada | 2016—20172018—2019
Aaron Downey | Canada | 2002—2004
Radek Dvorak | Czech Republic | 2011—2012
Cody Eakin | Canada | 2012—2017
Patrick Eaves | Canada | 2014—2017
Pelle Eklund | Sweden | 1993—1994
Remi Elie | Canada | 2016—2018
Loui Eriksson | Sweden | 2006—2013
Bob Errey | Canada | 1997—1998
John Erskine | Canada | 2001—2006
Dean Evason | Canada | 1993—1995
Radek Faksa | Czech Republic | 2015—2019
Kelly Fairchild | United States | 1998—1999
Todd Fedoruk | Canada | 2007—2008
Taylor Fedun | Canada | 2018—2019
Brent Fedyk | Canada | 1995—1996
Vernon Fiddler | Canada | 2011—2016
Mark Fistric | Canada | 2007—2012
Maxime Fortunus | Canada | 2009—2014
Iain Fraser | Canada | 1994—1995
Matt Fraser | Canada | 2011—2013
Dave Gagner | Canada | 1993—1996
Aaron Gagnon | Canada | 2009—2011
Steve Gainey | Canada | 2000—2002
Ryan Garbutt | Canada | 2011—2015
Cameron Gaunce | Canada | 2013—2015
Aaron Gavey | Canada | 1998—2000
Brent Gilchrist | Canada | 1993—19972001—2002
Ben Gleason | United States | 2018—2019
Scott Glennie | Canada | 2011—2015
Alex Goligoski | United States | 2010—2016
Sergei Gonchar | Russia | 2013—2015
Nicklas Grossmann | Sweden | 2006—2012
Bill Guerin | United States | 2002—2006
Denis Gurianov | Russia | 2016—20172018—2019
Sergei Gusev | Russia | 1997—1999
Niklas Hagman | Finland | 2005—2008
Jeff Halpern | United States | 2006—2008
Dan Hamhuis | Canada | 2016—2018
Joel Hanley | Canada | 2018—2019
Martin Hanzal | Czech Republic | 2017—2019
Todd Harvey | Canada | 1994—1998
Derian Hatcher | United States | 1993—2003
Kevin Hatcher | United States | 1994—1996
Greg Hawgood | Canada | 2001—2002
Dillon Heatherington | Canada | 2017—2019
Miro Heiskanen | Finland | 2018—2019
Sami Helenius | Finland | 2000—2003
Ales Hemsky | Czech Republic | 2014—2017
Roope Hintz | Finland | 2018—2019
Benoit Hogue | Canada | 1995—19992000—2002
Shawn Horcoff | Canada | 2013—2015
Julius Honka | Finland | 2016—2019
Tony Hrkac | Canada | 1997—1999
Bill Huard | Canada | 1995—1997
Jiri Hudler | Czech Republic | 2016—2017
Brett Hull | United States | 1998—2001
Andrew Hutchinson | United States | 2008—2009
Ric Jackman | Canada | 1999—2001
Jaromir Jagr | Czech Republic | 2012—2013
Dan Jancevski | Canada | 2005—2009
Doug Janik | United States | 2008—2009
Mattias Janmark | Sweden | 2015—2019
Dustin Jeffrey | Canada | 2013—2014
Jim Johnson | United States | 1993—1994
Stephen Johns | United States | 2015—2018
Jussi Jokinen | Finland | 2005—2008
Jyrki Jokipakka | Finland | 2014—2015
Duane Joyce | United States | 1993—1994
Valeri Kamensky | Russia | 2001—2002
Niko Kapanen | Finland | 2001—2006
Mike Keane | Canada | 1997—2001
Dan Keczmer | United States | 1996—1998
Mike Kennedy | Canada | 1994—1998
Dan Kesa | Canada | 1995—1996
Trent Klatt | United States | 1993—1996
Jon Klemm | Canada | 2003—2007
John Klingberg | Sweden | 2014—2019
Lauri Korpikoski | Finland | 2016—2017
Marc Labelle | Canada | 1996—1997
Mike Lalor | United States | 1993—1997
Jamie Langenbrunner | United States | 1994—2001
Philip Larsen | Denmark | 2009—2013
Mark Lawrence | Canada | 1994—1996
Grant Ledyard | Canada | 1993—1997
Greg Leeb | Canada | 2000—2001
Jere Lehtinen | Finland | 1995—2010
Claude Lemieux | Canada | 2002—2003
Joel L'Esperance | United States | 2018—2019
Junior Lessard | Canada | 2005—2008
Alan Letang | Canada | 1999—2000
Doug Lidster | Canada | 1998—1999
Juha Lind | Finland | 1997—2000
Esa Lindell | Finland | 2015—2019
Perttu Lindgren | Finland | 2009—2010
Eric Lindros | Canada | 2006—2007
Ben Lovejoy | United States | 2018—2019
Craig Ludwig | United States | 1993—1999
Warren Luhning | Canada | 1999—2000
Brad Lukowich | Canada | 1997—2002
Jyrki Lumme | Finland | 2001—2002
Joel Lundqvist | Sweden | 2006—2009
Roman Lyashenko | Russia | 1999—2002
Lane MacDermid | United States | 2012—2014
John MacLean | Canada | 2000—2002
Pat MacLeod | Canada | 1995—1996
Jeff MacMillan | Canada | 2003—2004
Sergei Makarov | Russia | 1996—1997
Manny Malhotra | Canada | 2001—2004
Dave Manson | Canada | 1999—20002001—2002
Daniel Marois | Canada | 1995—1996
