List of Los Angeles Kings players - Wikipedia
=============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Jean-Sebastien Aubin | Canada | 2007–2008
Ryan Bach | Canada | 1998—1999
Marco Baron | Canada | 1983—1984
Jean-Claude Bergeron | Canada | 1996—1997
Jonathan Bernier | Canada | 2007—2013
Daniel Berthiaume | Canada | 1990—1992
Ben Bishop | United States | 2016—2017
Mike Blake | Canada | 1981—1982
Barry Brust | Canada | 2006—2007
Peter Budaj | Slovakia | 2015—20172018—2019
Sean Burke | Canada | 2006—2007
Jack Campbell | United States | 2016—2019
Jacques Caron | Canada | 1967—1969
Roman Cechmanek | Czech Republic | 2003—2004
Frederic Chabot | Canada | 1997—1998
Mathieu Chouinard | Canada | 2003—2004
Dan Cloutier | Canada | 2006—2008
Marcel Cousineau | Canada | 1999—2001
Byron Dafoe | United Kingdom | 1995—1997
Denis DeJordy | Canada | 1969—1972
Gerry Desjardins | Canada | 1968—1970
Gary Edwards | Canada | 1971—1977
Darren Eliot | Canada | 1984—1985
Jhonas Enroth | Sweden | 2015—2016
Erik Ersberg | Sweden | 2007—2010
Stephane Fiset | Canada | 1996—2001
Mark Fitzpatrick | Canada | 1988—1989
Grant Fuhr | Canada | 1994—1995
Yutaka Fukufuji | Japan | 2006—2007
Mathieu Garon | Canada | 2005—2007
Mario Gosselin | Canada | 1989—1990
David Goverde | Canada | 1991—1994
Ron Grahame | Canada | 1978—1981
Adam Hauser | Canada | 2005—2006
Glenn Healy | Canada | 1985—1989
Milan Hnilicka | Czech Republic | 2003—2004
Kelly Hrudey | Canada | 1988—1996
Cristobal Huet | France | 2002—2004
Pauli Jaks | Switzerland | 1994—1995
Bob Janecyk | United States | 1984—1989
Allan Jensen | Canada | 1986—1987
Doug Keans | Canada | 1979—1983
Rick Knickle | Canada | 1992—1994
Darcy Kuemper | Canada | 2017—2018
Martin Jones | Canada | 2013—2015
Jason LaBarbera | Canada | 2005—2009
Gary Laskoski | Canada | 1982—1984
Manny Legace | Canada | 1998—1999
Mario Lessard | Canada | 1978—1984
Markus Mattsson | Finland | 1982—1984
Roland Melanson | Canada | 1985—1989
Jack Norris | Canada | 1970—1971
Paul Pageau | Canada | 1980—1981
Steve Passmore | Canada | 2000—2001
Calvin Petersen | United States | 2018—2019
Felix Potvin | Canada | 2000—2003
Jonathan Quick | United States | 2007—2019
Jim Rutherford | Canada | 1980—1982
Wayne Rutledge | Canada | 1967—1970
Terry Sawchuk | Canada | 1967—1968
Ron Scott | Canada | 1989—1990
Travis Scott | Canada | 2000—2001
Ben Scrivens | Canada | 2013—2014
Gary Simmons | Canada | 1976—1978
Billy Smith | Canada | 1971—1972
Robb Stauber | United States | 1989—1990
Jamie Storr | Canada | 1994—2003
Dan Taylor | United Kingdom | 2007—2008
Rogatien Vachon | Canada | 1971—1978
Steve Weeks | Canada | 1991—1992
Jeff Zatkoff | United States | 2016—2017


Skaters
_______
Name     |     Nationality     |     Seasons
Dennis Abgrall | Canada | 1975—1976
Peter Ahola | Finland | 1991—1993
