List of Nashville Predators players - Wikipedia
===============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Mark Dekanich | Canada | 2010–2011
Devan Dubnyk | Canada | 2013–2014
Mike Dunham | United States | 1998–2003
Dan Ellis | Canada | 2007–2010
Eric Fichaud | Canada | 1998–1999
Brian Finley | Canada | 2002–20032005–2006
Wade Flaherty | Canada | 2002–2003
Magnus Hellberg | Sweden | 2013–2015
Carter Hutton | Canada | 2013–2016
Jan Lasak | Slovakia | 2001–2003
Michael Leighton | Canada | 2006–2007
Anders Lindback | Sweden | 2010–2012
Chris Mason | Canada | 1998–20082012–2013
Marek Mazanec | Czech Republic | 2013–2017
Pekka Rinne | Finland | 2005–2019
Juuse Saros | Finland | 2015–2019
Tomas Vokoun | Czech Republic | 1998–2007


Skaters
_______
Player Name     |     Nationality     |     Seasons
Pontus Aberg | Sweden | 2015—2018
Ramzi Abid | Canada | 2006—2007
Jamie Allison | Canada | 2003—2006
Jonas Andersson | Sweden | 2001—2002
Niklas Andersson | Sweden | 1999—2000
Mark Arcobello | Canada | 2014—2015
Denis Arkhipov | Russia | 2000—2004
Jason Arnott | Canada | 2006—2010
Viktor Arvidsson | Sweden | 2014—2019
Blair Atcheynum | Canada | 1998—1999
Daniel Bang | Sweden | 2012—2013
Victor Bartley | Canada | 2012—2015
Cody Bass | Canada | 2015—2017
Taylor Beck | Canada | 2012—2015
Kris Beech | Canada | 2005—2006
Steve Begin | Canada | 2010—2011
Wade Belak | Canada | 2008—2011
Drake Berehowsky | Canada | 1998—2001
Niclas Bergfors | Sweden | 2011—2012
Anthony Bitetto | United States | 2014—2019
Colin Blackwell | United States | 2018—2019
Jonathon Blum | United States | 2010—2013
Brandon Bochenski | United States | 2007—2008
Alexandre Boikov | Russia | 1999—2001
Brad Bombardir | Canada | 2003—2004
Nick Bonino | Canada | 2017—2019
Radek Bonk | Czech Republic | 2007—2009
Sebastien Bordeleau | Canada | 1998—2001
Joel Bouchard | Canada | 1998—2000
Reid Boucher | United States | 2016—2017
Bob Boughner | Canada | 1998—2000
Francis Bouillon | United States | 2002—20032009—2012
Gabriel Bourque | Canada | 2011—2016
Zach Boychuk | Canada | 2012—2013
Dustin Boyd | Canada | 2009—2010
Brian Boyle | United States | 2018—2019
Rich Brennan | United States | 2001—2002
Sheldon Brookbank | Canada | 2006—2007
Wade Brookbank | Canada | 2003—2004
Andrew Brunette | Canada | 1998—1999
Bobby Butler | Canada | 2012—2013
Matt Carle | United States | 2016—2017
Alexandre Carrier | Canada | 2016—2017
Marian Cisar | Slovakia | 1999—2002
Greg Classen | Canada | 2000—2003
Richard Clune | Canada | 2012—2015
Patrick Cote | Canada | 1998—2000
Phil Crowe | Canada | 1999—2000
Matt Cullen | United States | 2013—2015
J. J. Daigneault | Canada | 1998—1999
Jeff Daniels | Canada | 1998—1999
Mathieu Darche | Canada | 2003—2004
Greg de Vries | Canada | 1998—19992007—2009
Andy Delmore | Canada | 2001—2003
Michael Del Zotto | Canada | 2013—2014
Phillip di Giuseppe | Canada | 2018—2019
Matt Donovan | United States | 2018—2019
Steve Dubinsky | Canada | 2001—2002
Jean-Pierre Dumont | Canada | 2006—2011
Mark Eaton | United States | 2000—2006
Patrick Eaves | Canada | 2013—2014
Mattias Ekholm | Sweden | 2011—2019
Ryan Ellis | Canada | 2011—2019
Alexei Emelin | Russia | 2017—2018
Martin Erat | Czech Republic | 2001—2013
Anthony Richard | Canada | 2018—2019
Mike Farrell | United States | 2003—2004
Kevin Fiala | Switzerland | 2014—2019
Vernon Fiddler | Canada | 2002—20092016—2017
Mike Fisher | Canada | 2010—2018
Tom Fitzgerald | United States | 1998—2002
Rory Fitzpatrick | United States | 2000—2001
Filip Forsberg | Sweden | 2012—2019
Peter Forsberg | Sweden | 2006—2007
Cody Franson | Canada | 2009—20112014—2015
Doug Friedman | United States | 1998—1999
Simon Gamache | Canada | 2003—2006
Frederick Gaudreau | Canada | 2016—2019
Paul Gaustad | United States | 2011—2016
Martin Gelinas | Canada | 2007—2008
Blake Geoffrion | Canada | 2010—2012
Brent Gilchrist | Canada | 2002—2003
