List of New Jersey Devils players - Wikipedia
=============================================
Goaltenders
___________
Player Name     |     Nat     |     Seasons
Appleby, Ken | Canada | 2017–2018
Billington, Craig | Canada | 1985–19891991–1993
Blackwood, Mackenzie | Canada | 2018–2019
Brodeur, Martin | Canada | 1991–2014
Burke, Sean | Canada | 1987–1991
Chevrier, Alain | Canada | 1985–1988
Clemmensen, Scott | United States | 2001–20072008–20092014–2015
Damphousse, Jean-Francois | Canada | 2001–2002
Danis, Yann | Canada | 2009–20102015–2016
Dunham, Mike | United States | 1996–1998
Erickson, Chad | United States | 1991–1992
Friesen, Karl | Canada | 1986–1987
Frazee, Jeff | Canada | 2012–2013
Hedberg, Johan | Sweden | 2010–2013
Kamppuri, Hannu | Finland | 1984–1985
Kinkaid, Keith | United States | 2012–20132014–2019
Lack, Eddie | Sweden | 2017–2018
Low, Ron | Canada | 1982–1985
MacKenzie, Shawn | Canada | 1982–1983
McKenna, Mike | United States | 2010–2011
McLean, Kirk | Canada | 1985–1987
Melanson, Roland | Canada | 1990–1991
Middlebrook, Lindsay | Canada | 1982–1983
Reese, Jeff | Canada | 1996–1997
Resch, Glenn | Canada | 1982–1986
Sauve, Bob | Canada | 1987–1989
Schneider, Cory | United States | 2013–2019
Schwab, Corey | Canada | 1995–19962002–2004
Shulmistra, Richard | Canada | 1997–1998
Sidorkiewicz, Peter | Poland | 1993–19941997–1998
St. Laurent, Sam | Canada | 1985–1986
Terreri, Chris | United States | 1986–19961998–2001
Vanbiesbrouck, John | United States | 2000–2002
Wedgewood, Scott | Canada | 2015–2016
Weekes, Kevin | Canada | 2007–2009


Skaters
_______
Player Name     |     Nat     |     Seasons
Adams, Greg | None | 1984–1987
Agostino, Kenny | None | 2018–2019
Albelin, Tommy | None | 1988–19962001–2006
Anderson, Joey | None | 2018–2019
Anderson, Matt | None | 2012–2013
Anderson, Perry | None | 1985–1991
Andreychuk, Dave | None | 1995–1999
Antonovich, Mike | None | 1982–1984
Arnott, Jason | None | 1997–20022010–2011
Ashton, Brent | None | 1982–1983
Auvitu, Yohann | None | 2016–2017
Barch, Krys | None | 2012–2013
Barr, Dave | None | 1991–1993
Bastian, Nathan | None | 2018–2019
Bennett, Beau | None | 2016–2017
Berglund, Christian | None | 2001–2004
Bernier, Steve | None | 2011–2015
Bergfors, Nicklas | None | 2007–2010
Bertrand, Eric | None | 1999–2000
Bicek, Jiri | None | 2000–2004
Blandisi, Joseph | None | 2015–2017
Blomqvist, Timo | None | 1986–1987
Bodger, Doug | None | 1997–1998
Bombardir, Brad | None | 1997–2000
Boschman, Laurie | None | 1990–1992
Bouchard, Joel | None | 2001–2002
Boucher, Reid | None | 2013–2017
Boulton, Eric | None | 2011–2012
Boumedienne, Josef | None | 2001–2002
Boyle, Brian | None | 2017–2019
Brady, Neil | None | 1989–1992
Bratt, Jesper | None | 2017–2019
Brickley, Andy | None | 1986–1988
Bridgman, Mel | None | 1983–1987
Brookbank, Sheldon | None | 2007–2009
Brooke, Bob | None | 1989–1990
Brooks, Alex | None | 2006–2007
Broten, Aaron | None | 1982–1990
Broten, Neal | None | 1994–1997
Brown, Doug | None | 1986–1993
Brown, Sean | None | 2003–2006
Brule, Steve | None | 1999–2000
Brumwell, Murray | None | 1982–1988
Brunner, Damien | None | 2013–2014
Brylin, Sergei | None | 1994–2008
Butcher, Will | None | 2017–2019
Butler, Bobby | None | 2012–2013
Cameron, Dave | None | 1982–1984
Cammalleri, Mike | None | 2014–2017
Carlsson, Anders | None | 1986–1989
Carpenter, Bobby | None | 1993–1999
Carrick, Connor | None | 2018–2019
Chambers, Shawn | None | 1994–1997
Chernomaz, Rich | None | 1983–1987
Chorske, Tom | None | 1991–1995
Christian, Jeff | None | 1991–1992
Cichocki, Chris | None | 1987–1989
Ciger, Zdeno | None | 1990–1993
Cirella, Joe | None | 1982–1989
Clarke, Noah | None | 2007–2008
Clarkson, David | None | 2006–2013
Clowe, Ryane | None | 2013–2015
Cole, Danton | None | 1994–1995
Coleman, Blake | None | 2016–2019
Commodore, Mike | None | 2000–2002
Conacher, Pat | None | 1985–1992
Corkum, Bob | None | 2000–2001
Corrente, Matthew | None | 2009–2011
Crowder, Troy | None | 1987–1991
Dagenais, Pierre | None | 2000–2002
D'Agostini, Matt | None | 2012–2013
Daneyko, Ken | None | 1983–2003
Daniels, Scott | None | 1997–1999
Danton, Mike | None | 2000–2003
Darby, Craig | None | 2002–2004
Davis, Patrick | None | 2008–2010
Davison, Rob | None | 2009–2010
Dea, Jean-Sebastien | None | 2018–2019
Dean, Kevin | None | 1994–1999
Dietrich, Don | None | 1985–1986
Dorion, Dan | None | 1985–1988
Dowd, Jim | None | 1991–19962006–2007
