List of New York Islanders players - Wikipedia
==============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Jean-Francois Berube | Canada | 2015–2017
Martin Biron | Canada | 2009–2010
Richard Brodeur | Canada | 1979–1980
Marcel Cousineau | Canada | 1998–1999
Yann Danis | Canada | 2008–2009
Gerry Desjardins | Canada | 1972–1974
Rick DiPietro | United States | 2000–2013
Tom Draper | Canada | 1993–1994
Wade Dubielewicz | Canada | 2003–2008
Mike Dunham | United States | 2006–2007
Eric Fichaud | Canada | 1995–1998
Mark Fitzpatrick | Canada | 1988–1993
Wade Flaherty | Canada | 1997–2001
Gerry Gray | Canada | 1972–1973
Christopher Gibson | Finland | 2015–Present
Thomas Greiss | Germany | 2015–Present
Jeff Hackett | Canada | 1988–19891990–1991
Jaroslav Halak | Slovakia | 2014–2018
Glenn Healy | Canada | 1989–1993
Ron Hextall | Canada | 1993–1994
Goran Hogosta | Sweden | 1977–1978
Kelly Hrudey | Canada | 1983–1989
Chad Johnson | Canada | 2014–2015
Mikko Koskinen | Finland | 2010–2011
Nathan Lawson | Canada | 2010–2011
Robin Lehner | Sweden | 2018–Present
Danny Lorenz | Canada | 1990–1993
Roberto Luongo | Canada | 1999–2000
Joey MacDonald | Canada | 2007–2009
George Maneluk | Canada | 1990–1991
Peter Mannino | United States | 2008–2009
Jamie McLennan | Canada | 1993–1997
Roland Melanson | Canada | 1980–1985
Al Montoya | United States | 2010–2012
Evgeni Nabokov | Kazakhstan | 2011–2014
Michal Neuvirth | Czech Republic | 2014–2015
Anders Nilsson | Sweden | 2011–2014
Chris Osgood | Canada | 2001–2003
Felix Potvin | Canada | 1998–2000
Kevin Poulin | Canada | 2010–2015
Chico Resch | Canada | 1973–1981
Dwayne Roloson | Canada | 2009–2011
Tommy Salo | Sweden | 1994–1999
Billy Smith | Canada | 1972–1989
Garth Snow | United States | 2001–2006
Tommy Soderstrom | Sweden | 1994–1997
Chris Terreri | United States | 2000–2001
Steve Valiquette | Canada | 1999–20012002–2003
John Vanbiesbrouck | United States | 2000–2001
Kevin Weekes | Canada | 1999–2000
Steve Weeks | Canada | 1991–1992


Skaters
_______
Player Name     |     Nationality     |     Seasons
Keith Acton | Canada | 1993—1994
Robert Affleck | Canada | 1983—1984
Sebastian Aho | Sweden | 2018—Present
Micah Aivazoff | Canada | 1995—1996
Mikael Andersson | Sweden | 1999—2000
Niklas Andersson | Sweden | 1995—19971999—2000
David Archibald | Canada | 1996—1997
Derek Armstrong | Canada | 1993—19941995—1997
Arron Asham | Canada | 2002—2007
Adrian Aucoin | Canada | 2001—2004
Keith Aucoin | United States | 2012—2013
Josh Bailey | Canada | 2008—Present
Mathew Barzal | Canada | 2016—Present
Bob Bassen | Canada | 1985—1989
Shawn Bates | United States | 2001—2008
Ken Baumgartner | Canada | 1989—1992
Anthony Beauvillier | Canada | 2016—Present
Taylor Beck | Canada | 2015—2016
Bob Beers | United States | 1994—1996
Derek Bekar | Canada | 2003—2004
Jesse Belanger | Canada | 2000—2001
Ken Belanger | Canada | 1995—1999
Sean Bentivoglio | Canada | 2008—2009
