List of New York Rangers players - Wikipedia
============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Aitkenhead, Andy | Scotland | 1932–1935
Anderson, Lorne | Canada | 1951–1952
Astrom, Hardy | Sweden | 1977–1978
Auld, Alex | Canada | 2009–2010
Baker, Steve | United States | 1979–1983
Bell, Gordon | Canada | 1945–1946
Beveridge, Bill | Canada | 1942–1943
Biron, Martin | Canada | 2010–2014
Bouvrette, Lionel | Canada | 1942–1943
Bower, Johnny | Canada | 1953–1955
Buzinski, Steve | Canada | 1942–1943
Chabot, Lorne | Canada | 1926–1928
Cloutier, Dan | Canada | 1997–1999
Davidson, John | Canada | 1975–1983
DeCourcy, Bob | Canada | 1947–1948
Dryden, Dave | Canada | 1961–1962
Dunham, Mike | United States | 2002–2004
Froese, Bob | Canada | 1986–1990
Francis, Emile | Canada | 1948–1952
Franks, Jimmy | Canada | 1942–1943
Gamble, Bruce | Canada | 1958–1959
Gardiner, Bert | Canada | 1935–1936
Georgiev, Alexandar | Bulgaria | 2017–2019
Giacomin, Eddie | Canada | 1965–1976
Gratton, Gilles | Canada | 1976–1977
Halverson, Brandon | United States | 2017–2018
Hanlon, Glen | Canada | 1982–1986
Healy, Glenn | Canada | 1993–1997
Hebert, Guy | United States | 2000–2001
Hellberg, Magnus | Sweden | 2015–2017
Henry, Jim | Canada | 1941–1948
Hirsch, Corey | Canada | 1992–1993
Hnilicka, Milan | Czech Republic | 1999–2000
Holmqvist, Johan | Sweden | 2000–2003
Holt, Chris | Canada | 2005–2006
Jackson, Percy | Canada | 1934–1935
Johnson, Chad | Canada | 2009–2011
Kerr, Dave | Canada | 1934–1941
Kleisinger, Terry | Canada | 1985–1986
Klymkiw, Julian | Canada | 1958–1959
LaBarbera, Jason | Canada | 2000–2004
Labbe, Jean-François | Canada | 1999–2000
Lumley, Harry | Canada | 1943–1944
Lundqvist, Henrik | Sweden | 2005–2019
Maniago, Cesare | Canada | 1965–1967
Markkanen, Jussi | Finland | 2003–2004
McAuley, Ken | Canada | 1943–1945
McCartan, Jack | United States | 1959–1961
McDuffe, Peter | Canada | 1972–1974
McLean, Kirk | Canada | 1999–2001
McLennan, Jamie | Canada | 2003–2004
Mio, Eddie | Canada | 1981–1983
Muzzatti, Jason | Canada | 1997–1998
Olesevich, Danny | Canada | 1961–1962
Paille, Marcel | Canada | 1957–1965
Pavelec, Ondrej | Czech Republic | 2017–2018
Pelletier, Marcel | Canada | 1962–1963
Plante, Jacques | Canada | 1963–1965
Raanta, Antti | Finland | 2015–2017
Ram, Jamie | Canada | 1995–1996
Rayner, Chuck | Canada | 1945–1953
Richter, Mike | United States | 1989–2003
Ridley, Curt | Canada | 1974–1975
Roach, John | Canada | 1928–1932
Rollins, Al | Canada | 1959–1960
Sawchuk, Terry | Canada | 1969–1970
Schaefer, Joe | United States | 1959–1961
Scott, Ron | Canada | 1983–1988
Simmons, Don | Canada | 1965–1968
Skapski, Mackenzie | Canada | 2014–2015
Soetaert, Doug | Canada | 1975–19811986–1987
Stevenson, Doug | Canada | 1944–1945
Talbot, Cam | Canada | 2013–2015
Tataryn, Dave | Canada | 1976–1977
Thomas, Wayne | Canada | 1977–1981
Vanbiesbrouck, John | United States | 1981–1993
Valiquette, Steve | Canada | 2003–2010
Villemure, Gilles | Canada | 1963–1975
Weekes, Kevin | Canada | 2005–2007
Weeks, Steve | Canada | 1980–1984
Wilson, Dunc | Canada | 1974–1976
Winkler, Hal | Canada | 1926–1927
Yeremeyev, Vitali | Kazakhstan | 2000–2001


Skaters
_______
Player Name     |     Nationality     |     Seasons
Abel, Clarence | United States | 1926–1929
Adam, Doug | Canada | 1949–1950
Ailsby, Lloyd | Canada | 1951–1952
Albright, Clint | Canada | 1948–1949
Allen, Conor | United States | 2013–2015
Allen, George | Canada | 1938–1939
Allison, Mike | Canada | 1980–1986
Allum, Bill | Canada | 1940–1941
Amonte, Tony | United States | 1991–1994
Anderson, Glenn | Canada | 1993–1994
Andersson, Kent-Erik | Sweden | 1982–1984
Andersson, Lias | Sweden | 2017–2019
Andersson, Peter | Sweden | 1992–1994
Andrascik, Steve | Canada | 1971–1972
Andrea, Paul | Canada | 1965–1966
Angotti, Lou | Canada | 1964–1966
Anisimov, Artem | Russia | 2008–2012
Anslow, Hub | Canada | 1947–1948
Apps, Jr., Syl | Canada | 1970–1971
Archibald, Dave | Canada | 1989–1990
Armstrong, Derek | Canada | 1998–2001
Asmundson, Oscar | Canada | 1932–1934
Atanas, Walt | Canada | 1944–1945
Attwell, Ron | Canada | 1967–1968
Aubuchon, Oscar | Canada | 1943–1944
Avery, Sean | Canada | 2006–2012
Awrey, Don | Canada | 1977–1978
Ayres, Vernon | Canada | 1935–1936
Babando, Pete | United States | 1952–1953
Backman, Christian | Sweden | 2007–2008
Backman, Mike | Canada | 1981–1984
Baker, Bill | United States | 1982–1983
Balej, Jozef | Slovakia | 2003–2004
Balon, Dave | Canada | 1959–19631968–1972
Bandura, Jeff | Canada | 1980–1981
Bannister, Drew | Canada | 2000–2001
Baranka, Ivan | Slovakia | 2007–2008
Barnaby, Matthew | Canada | 2001–2004
Barr, Dave | Canada | 1983–1984
