List of Ottawa Senators players - Wikipedia
===========================================
Goaltenders
___________
Name     |     #     |     Nationality     |     Seasons     
Anderson, Craig | 41 | United States| 2010–present
Auld, Alex | 35 | Canada| 2008–20092011–2012
Bales, Mike | 35 | Canada| 1994–1997
Barrasso, Tom | 30 | United States| 1999–2000
Beaupre, Don | 33 | Canada| 1994–1996
Berthiaume, Daniel | 32 | Canada| 1992–1994
Billington, Craig | 1 | Canada| 1993–1995
Bishop, Ben | 30 | United States| 2011–2013
Brodeur, Mike | 31 | Canada| 2009–2011
Condon, Mike | 1 | United States| 2016–present
Daccord, Joey | 34 | United States| 2018–present
Driedger, Chris | 32 | Canada| 2014–2018
Elliott, Brian | 30 | Canada| 2007–2011
Emery, Ray | 1 | Canada| 2002–2008
Fountain, Mike | 30 | Canada| 1999–2001
Gerber, Martin | 29 | Switzerland| 2006–2009
Hammond, Andrew | 30 | Canada| 2013–2018
Hasek, Dominik | 39 | Czech Republic| 2005–2006
Högberg, Marcus | 35 | Sweden| 2018–present
Hurme, Jani | 35 | Finland| 1999–2002
Laforest, Mark | 35 | Canada| 1993–1994
Lajeunesse, Simon | 35 | Canada| 2001–2002
Lalime, Patrick | 40 | Canada| 1999–2004
Lawson, Nathan | 29 | Canada| 2012–2014
Leclaire, Pascal | 33 | Canada| 2007–2011
Lehner, Robin | 40 | Sweden| 2010–2015
Madeley, Darrin | 30 | Canada| 1992–1995
McElhinney, Curtis | 31 | Canada| 2010–2011
McKenna, Mike | 33 | United States| 2018–2019
Morrison, Mike | 30 | United States| 2005–2006
Nilsson, Anders | 31 | Sweden| 2018–present
O'Connor, Matt | 29 | Canada| 2015–2017
Prusek, Martin | 31 | Czech Republic| 2001–2004
Rhodes, Damian | 1 | United States| 1995–1999
Sidorkiewicz, Peter | 31 | Poland| 1992–1993
Taylor, Danny | 70 | Canada| 2017–2018
Tugnutt, Ron | 31 | Canada| 1996–2000
Weeks, Steve | 1 | Canada| 1992–1993


Skaters
_______
Name     |     #     |     Nationality     |     Seasons
