List of Philadelphia Flyers players - Wikipedia
===============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Johan Backlund |  Sweden| 2009–2010
Stephane Beauregard |  Canada| 1992–1993
Michel Belhumeur |  Canada| 1972–1973
Martin Biron |  Canada| 2006–2009
Sergei Bobrovsky |  Russia| 2010–2012
Brian Boucher |  United States| 1999–20022009–20112012–2013
Ilya Bryzgalov |  Russia| 2011–2013
Sean Burke |  Canada| 1997–19982003–2004
Roman Cechmanek |  Czech Republic| 2000–2003
Frederic Chabot |  Canada| 1993–1994
Marc D'Amour |  Canada| 1988–1989
Jeremy Duchesne |  United States| 2009–2010
Brian Elliott |  Canada| 2017–2019
Ray Emery |  Canada| 2009–20102013–2015
Robert Esche |  United States| 2002–2007
Doug Favell |  Canada| 1967–1973
Bob Froese |  Canada| 1982–1987
Bruce Gamble |  Canada| 1970–1972
Jeff Hackett |  Canada| 2003–2004
Carter Hart |  Canada| 2018–2019
Cal Heeter |  United States| 2013–2014
Ron Hextall |  Canada| 1986–19921994–1999
Bruce Hoffort |  Canada| 1989–1991
Martin Houle |  Canada| 2006–2007
Gary Inness |  Canada| 1975–1977
Darren Jensen |  Canada| 1984–1986
Mark Laforest |  Canada| 1987–1989
Michel Larocque |  Canada| 1982–1983
Michael Leighton |  Canada| 2006–20072009–20112012–2013
Pelle Lindbergh |  Sweden| 1981–1986
Neil Little |  Canada| 2001–20022003–2004
Alex Lyon |  United States| 2017–2019
Steve Mason |  Canada| 2012–2017
Mike McKenna |  United States| 2018–2019
Don McLeod |  Canada| 1971–1972
Robbie Moore |  Canada| 1978–1979
Jerome Mrazek |  Canada| 1975–1976
Petr Mrazek |  Czech Republic| 2017–2018
Phil Myre |  Canada| 1979–1981
Michal Neuvirth |  Czech Republic| 2015–2019
Antero Niittymaki |  Finland| 2003–2009
Maxime Ouellet |  Canada| 2000–2001
Bernie Parent |  Canada| 1967–19711973–1979
Pete Peeters |  Canada| 1978–19821989–1991
Jean-Marc Pelletier |  United States| 1998–1999
Calvin Pickard |  Canada| 2018–2019
Glenn Resch |  Canada| 1985–1987
Dominic Roussel |  Canada| 1991–1996
Garth Snow |  United States| 1995–1998
Tommy Soderstrom |  Sweden| 1992–1994
Rick St. Croix |  Canada| 1977–1983
Wayne Stephenson |  Canada| 1974–1979
Anthony Stolarz |  United States| 2016–20172018–2019
Cam Talbot |  Canada| 2018–2019
Bobby Taylor |  Canada| 1971–1976
John Vanbiesbrouck |  United States| 1998–2000
Dunc Wilson |  Canada| 1969–1970
Ken Wregget |  Canada| 1988–1992
Wendell Young |  Canada| 1987–1988
Rob Zepp |  Germany| 2014–2015


Skaters
_______
Name     |     Nationality     |     Seasons
Keith Acton |  Canada | 5
Greg Adams |  Canada | 2
Dmitry Afanasenkov |  Russia | 1
Jason Akeson |  Canada | 3
Andrew Alberts |  United States | 1
Ray Allison |  Canada | 5
Mark Alt |  United States | 2
Tony Amonte |  United States | 2
Shawn Anderson |  Canada | 1
Mikael Andersson |  Sweden | 2
Lou Angotti |  Canada | 1
Shawn Antoski |  Canada | 2
Bill Armstrong |  Canada | 1
Fred Arthur |  Canada | 2
Arron Asham |  Canada | 2
Barry Ashbee |  Canada | 4
Nicolas Aube-Kubel |  Canada | 1
Dave Babych |  Canada | 2
Justin Bailey |  United States | 1
Reid Bailey |  Canada | 2
Terry Ball |  Canada | 2
Bill Barber |  Canada | 12
Norm Barnes |  Canada | 4
Murray Baron |  Canada | 2
Len Barrie |  Canada | 2
Oskars Bartulis |  Latvia | 2
Ryan Bast |  Canada | 1
Frank Bathe |  Canada | 7
Nolan Baumgartner |  Canada | 1
Pierre-Edouard Bellemare |  France | 3
Harvey Bennett |  United States | 2
Brian Benning |  Canada | 2
Josef Beranek |  Czech Republic | 3
Todd Bergen |  Canada | 1
Bo Berglund |  Sweden | 1
Serge Bernier |  Canada | 4
Craig Berube |  Canada | 7
Blair Betts |  Canada | 2
Don Biggs |  Canada | 1
Don Blackburn |  Canada | 2
Tom Bladon |  Canada | 6
Claude Boivin |  Canada | 3
Mike Boland |  Canada | 1
Mark Botell |  Canada | 1
Jesse Boulerice |  United States | 2
Marc-Andre Bourdon |  Canada | 1
Jason Bowen |  Canada | 5
Nick Boynton |  Canada | 1
Donald Brashear |  United States | 4
Pavel Brendl |  Czech Republic | 2
Andy Brickley |  United States | 1
Mel Bridgman |  Canada | 7
Danny Briere |  Canada | 6
Aris Brimanis |  United States | 3
Rod Brind'Amour |  Canada | 9
Willie Brossart |  Canada | 3
Dave Brown |  Canada | 11
Larry Brown |  Canada | 1
Mike Bullard |  Canada | 2
Marc Bureau |  Canada | 2
Adam Burt |  United States | 2
Mike Busniuk |  Canada | 2
Vyacheslav Butsayev |  Russia | 2
Mike Byers |  Canada | 1
Kyle Calder |  Canada | 1
Drew Callander |  Canada | 3
Daniel Carcillo |  Canada | 3
Terry Carkner |  Canada | 5
Matt Carle |  United States | 4
Dwight Carruthers |  Canada | 1
Lindsay Carson |  Canada | 7
Jeff Carter |  Canada | 6
Dick Cherry |  Canada | 2
Eric Chouinard |  United States | 3
Jeff Chychrun |  Canada | 5
