List of Pittsburgh Penguins players - Wikipedia
===============================================
Skaters
_______
Player     |     Years     
Ramzi Abid | 2002–2004
Craig Adams | 2008–2015
Peter Ahola | 1992–1993
Brad Aitken | 1987–1991
Peter Allen | 1995–1996
Russell Anderson | 1976–1982
Paul Andrea | 1967–1969
Greg Andrusak | 1993–1999
Lou Angotti | 1968–1969
Shawn Antoski | 1996–1997
Syl Apps Jr. | 1970–1978
John Arbour | 1968–1969
Josh Archibald | 2015–2017
Mark Arcobello | 2014–2015
Colby Armstrong | 2005–2008
Ernest Arnason | 1973–1976
Arron Asham | 2010–2012
Zach Aston-Reese | 2017–2019
Don Awrey | 1976–1977
Wayne Babych | 1984–1986
Matthew Barnaby | 1998–2001
Stu Barnes | 1996–1999
Doug Barrie | 1968–1969
Len Barrie | 1994–1996
Andy Bathgate | 1967–1971
Nolan Baumgartner | 2003–2004
Paul Baxter | 1980–1983
Kris Beech | 2001–2008
Roger Belanger Jr. | 1984–1985
Neil Belland | 1986–1987
Beau Bennett | 2012–2016
Harvey Bennett | 1974–1976
Josef Beranek | 1996–2001
Drake Berehowsky | 1994–2004
Yves Bergeron | 1974–1977
Marc Bergevin | 2000–2004
Stefan Bergqvist | 1995–1997
Rick Berry | 2001–2002
Nick Beverley | 1973–1974
Wayne Bianchin | 1973–1979
Larry Bignell | 1973–1974
Paul Bissonnette | 2008–2009
Barry Bjugstad | 1988–1989
Nick Bjugstad | 2018–2019
Bob Blackburn | 1969–1971
Thomas Bladon | 1978–1980
Mike Blaisdell | 1985–1987
Joseph Blandisi | 2018–2019
Teddy Blueger | 2018–2019
Doug Bodger | 1984–1989
Eric Boguniecki | 2005–2006
Patrick Boileau | 2003–2004
Leo Boivin | 1967–1969
Brian Bonin | 1998–1999
Nick Bonino | 2015–2017
Dennis Bonvie | 1999–2001
Robert Bortuzzo | 2011–2015
Joel Bouchard | 2002–2003
Philippe Boucher | 2008–2009
Robert Boughner | 1999–2001
Chris Bourque | 2009–2010
Phil Bourque | 1983–1992
Patrick Boutette | 1981–1985
Zach Boychuk | 2012–2013
Randy Boyd | 1981–1984
Wally Boyer | 1968–1972
Matt Bradley | 2003–2004
Derick Brassard | 2017–2019
Tim Brent | 2007–2008
Andy Brickley | 1983–1985
Michel Briere | 1969–1970
Douglas Brown | 1993–1994
Greg Brown | 1993–1994
Robert Brown | 1987–2000
Kelly Buchberger | 2003–2004
Michael Bullard | 1980–1987
Edward Bulley | 1983–1984
Charlie Burns | 1968–1969
Robin Burns | 1970–1973
David Burrows | 1971–1981
Rod Buskas | 1982–1990
