List of San Jose Sharks players - Wikipedia
===========================================
Goaltenders
___________
Name     |     Nationality     |     GP
Ed Belfour |  Canada | 1996–1997
Brian Boucher |  United States | 2007–2009
Aaron Dell |  Canada | 2016–2019
Wade Flaherty |  Canada | 1996–1997
Sean Gauthier |  Canada | 1998–1999
Thomas Greiss |  Germany | 2007–2013
Troy Grosenick |  United States | 2014–2015
Jeff Hackett |  Canada | 1991–1993
Brian Hayward |  Canada | 1991–1993
Kelly Hrudey |  Canada | 1996–1998
Arturs Irbe |  Latvia | 1991–1996
Martin Jones |  Canada | 2015–2019
Miikka Kiprusoff |  Finland | 2000–2004
Jason Muzzatti |  Canada | 1997–1998
Jarmo Myllys |  Finland | 1991–1992
Evgeni Nabokov |  Russia | 1999–2010
Antti Niemi |  Finland | 2010–2015
Antero Niittymaki |  Finland | 2010–2011
Dimitri Patzold |  Germany | 2007–2008
James Reimer |  Canada | 2015–2016
Geoff Sarjeant |  Canada | 1995–1996
Nolan Schaefer |  Canada | 2005–2006
Steve Shields |  Canada | 1998–2001
Alex Stalock |  United States | 2010–2015
Chris Terreri |  United States | 1995–1997
Vesa Toskala |  Finland | 2001–2007
Mike Vernon |  Canada | 1997–1999
Jimmy Waite |  Canada | 1993–1995


Skaters
_______
Name     |     Nationality     |     GP
Peter Ahola |  Finland | 1992–1993
Perry Anderson |  Canada | 1991–1992
Niklas Andersson |  Sweden | 1997–1998
Riley Armstrong |  Canada | 2008–2009
Jamie Baker |  Canada | 1993–19961998–1999
Steve Bancroft |  Canada | 2001–2002
Don Barber |  Canada | 1991–1992
Sergei Bautin |  Russia | 1995–1996
Robin Bawa |  Canada | 1992–1993
Mark Beaufait |  United States | 1992–1993
Mark Bell |  Canada | 2006–2007
Perry Berezan |  Canada | 1991–1993
Steve Bernier |  Canada | 2005–2008
Rob Blake |  Canada | 2008–2010
Doug Bodger |  Canada | 1995–1998
Mikkel Boedker |  Denmark | 2016–2018
Brad Boyes |  Canada | 2003–2004
Dan Boyle |  Canada | 2008–2014
Steve Bozek |  Canada | 1991–1992
Matt Bradley |  Canada | 2000–2003
Justin Braun |  United States | 2010–2019
Rich Brennan |  United States | 1997–1998
Curtis Brown |  Canada | 2003–20042006–2008
Dave Brown |  Canada | 1995–1996
Mike Brown |  United States | 2013–2016
David Bruce |  Canada | 1991–1994
Adam Burish |  United States | 2012–2015
Brent Burns |  Canada | 2011–2019
Shawn Burr |  Canada | 1997–1999
Vyacheslav Butsayev |  Russia | 1993–1995
Ilya Byakin |  Russia | 1994–1995
Lyndon Byers |  Canada | 1992–1993
Joe Callahan |  United States | 2009–2010
Jan Caloun |  Czech Republic | 1995–1997
Brian Campbell |  Canada | 2007–2008
Dave Capuano |  United States | 1993–1994
Matt Carkner |  Canada | 2005–2006
Matt Carle |  United States | 2005–2008
Ryan Carpenter |  United States | 2015–2018
John Carter |  United States | 1991–1993
Tom Cavanagh |  United States | 2007–2009
Rourke Chartier |  Canada | 2018–2019
Jonathan Cheechoo |  Canada | 2002–2009
Ryane Clowe |  Canada | 2005–2013
Mike Colman |  United States | 1991–1992
Yvon Corriveau |  Canada | 1992–1993
Ed Courtenay |  Canada | 1991–1993
Logan Couture |  Canada | 2009–2019
Craig Coxe |  United States | 1991–1992
Mike Craig |  Canada | 1998–19992001–2002
Dale Craigwell |  Canada | 1991–1994
Murray Craven |  Canada | 1997–2000
Shawn Cronin |  United States | 1993–1995
Ulf Dahlen |  Sweden | 1993–1997
