List of Tampa Bay Lightning players - Wikipedia
===============================================
Goaltenders
___________
Player Name     |     Nat     |     Seasons
Bergeron, Jean-Claude | Canada | 1992–1996
Bierk, Zac | Canada | 1997–2000
Bishop, Ben | United States | 2012–2017
Budaj, Peter | Slovakia | 2016–2018
Burke, Sean | Canada | 2005–2006
Caron, Sebastien | Canada | 2011–2012
Cloutier, Dan | Canada | 1999–2000
Coleman, Gerald | United States | 2005–2006
Denis, Marc | Canada | 2006–2008
Desjardins, Cedrick | Canada | 2010–20112012–2014
Louis Domingue | Canada | 2017–2019
Eklund, Brian | United States | 2005–2006
Ellis, Dan | Canada | 2010–2011
Fitzpatrick, Mark | Canada | 1997–1998
Flaherty, Wade | Canada | 2000–2001
Garon, Mathieu | Canada | 2011–2013
None | United States | 2002–2006
Gudlevskis, Kristers | Latvia | 2013–2017
Helenius, Riku | Finland | 2008–2009
Hodson, Kevin | Canada | 1998–20002002–2003
Holmqvist, Johan | Sweden | 2006–2008
Jablonski, Pat | United States | 1992–1994
None | Russia | 2000–2004
Kochan, Dieter | Canada | 1999–2002
Kolzig, Olaf | Germany | 2008–2009
Konstantinov, Evgeny | Russia | 2000–20012002–2003
Lindback, Anders | Sweden | 2012–2014
Littman, David | United States | 1992–1993
McKenna, Mike | United States | 2008–2009
Nabokov, Evgeni | Kazakhstan | 2014–2015
Niittymaki, Antero | Finland | 2009–2010
Parent, Rich | Canada | 1999–2000
Pasquale, Edward | Canada | 2018–2019
Puppa, Daren | Canada | 1993–2000
Ramo, Karri | Finland | 2006–2009
Ranford, Bill | Canada | 1998–1999
Reese, Jeff | Canada | 1995–1996
Roloson, Dwayne | Canada | 2010–2012
Schwab, Corey | Canada | 1996–1999
Smith, Mike | Canada | 2007–2011
Tabaracci, Rick | Canada | 1996–1997
Tokarski, Dustin | Canada | 2009–2012
Vasilevskiy, Andrei | Russia | 2014–2019
Weekes, Kevin | Canada | 2000–2002
Wilkinson, Derek | Canada | 1995–1999
Young, Wendell | Canada | 1992–1994


Skaters
_______
Player Name     |     Nat     |     Seasons
None | Russia | 2000–2007
Alexeev, Nikita | Russia | 2001–20032006–2007
Andersson, Mikael | Sweden | 1992–1999
None | Canada | 2001–2006
Angelidis, Mike | Canada | 2011–2016
Artyukhin, Evgeny | Russia | 2005–20062008–2009
Astashenko, Kaspars | Latvia | 1999–2001
Aucoin, Adrian | Canada | 2000–2001
Aulie, Keith | Canada | 2011–2014
Bannister, Drew | Canada | 1995–19971998–1999
Barberio, Mark | Canada | 2012–2015
Barnaby, Matthew | Canada | 2000–2002
Beers, Bob | United States | 1992–1994
Bellows, Brian | Canada | 1995–1997
Bergenheim, Sean | Finland | 2010–2011
Bergeron, Marc-Andre | Canada | 2010–2013
Bergevin, Marc | Canada | 1992–19952002–2003
Bergland, Tim | United States | 1992–1994
Betik, Karel | Czech Republic | 1998–1999
Biron, Mathieu | Canada | 2001–2002
Bluden, Mike | Canada | 2014–2016
Bochenski, Brandon | United States | 2008–2010
Bonsignore, Jason | United States | 1997–1999
Boumedienne, Josef | Sweden | 2001–2002
Bournival, Michael | Canada | 2016–2018
Boyle, Brian | United States | 2014–2017
None | Canada | 2001–2008
Bradley, Brian | Canada | 1992–1998
Brewer, Eric | Canada | 2010–2015
Brousseau, Paul | Canada | 1996–1998
Brown, J. T. | United States | 2011–2018
Bureau, Marc | Canada | 1992–1995
Burr, Shawn | Canada | 1995–19971999–2000
Butsayev, Vyacheslav | Russia | 1999–2000
Callahan, Ryan | United States | 2013–2019
Callander, Jock | Canada | 1992–1993
Campbell, Jim | United States | 2005–2006
Capuano, Dave | United States | 1992–1993
Carle, Matt | United States | 2008–20092012–2016
Cernak, Erik | Slovakia | 2018–2019
Chambers, Shawn | United States | 1992–1995
Charron, Eric | Canada | 1993–1996
None | Slovakia | 2001–20022003–2006
None | Canada | 1996–1998
Ciccone, Enrico | Canada | 1993–19961997–1999
Ciger, Zdeno | Slovakia | 2001–2002
Cirelli, Anthony | Canada | 2017–2019
Clark, Brett | Canada | 2010–2012
Clark, Wendel | Canada | 1998–1999
None | United States | 1999–2004
Coburn, Braydon | Canada | 2014–2019
Cole, Danton | United States | 1992–1995
Commodore, Mike | Canada | 2011–2012
Conacher, Cory | Canada | 2012–20132016–2019
Condra, Erik | United States | 2015–2017
Connolly, Brett | Canada | 2011–2015
Cote, Alain | Canada | 1992–1993
Cote, Jean-Philippe | Canada | 2013–2014
Craig, Ryan | Canada | 2005–2010
Creighton, Adam | Canada | 1992–1994
Crombeen, B. J. | United States | 2012–2014
Cross, Cory | Canada | 1993–1999
Crossman, Doug | Canada | 1992–1993
Cullen, John | Canada | 1995–19971998–1999
None | Canada | 1997–2004
Cummins, Jim | United States | 1993–1995
Daigle, Alexandre | Canada | 1998–1999
Darche, Mathieu | Canada | 2007–2008
DeBrusk, Louie | Canada | 1997–1998
Delisle, Xavier | Canada | 1998–1999
DiMaio, Rob | Canada | 1992–19942005–2006
None | Canada | 2001–2006
Dotchin, Jake | Canada | 2016–2018
Downie, Steve | Canada | 2008–2012
Drouin, Jonathan | Canada | 2014–2017
Drulia, Stan | United States | 1992–19931999–2001
Dufresne, Donald | Canada | 1993–1994
Dumont, Gabriel | Canada | 2016–2018
Dwyer, Gordie | Canada | 1999–2001
Dykhuis, Karl | Canada | 1997–1999
Egeland, Allan | Canada | 1995–1998
Ekman, Nils | Sweden | 1999–2001
Elich, Matt | United States | 1999–2001
Elynuik, Pat | Canada | 1993–1994
Eminger, Steve | Canada | 2008–2009
Emmons, John | United States | 2000–2001
Erne, Adam | United States | 2016–2019
Fedoruk, Todd | Canada | 2009–2010
None | Ukraine | 2002–2007
Filppula, Valtteri | Finland | 2013–2017
Finn, Steven | Canada | 1995–1996
Forbes, Colin | Canada | 1998–2000
Foster, Kurtis | Canada | 2009–2010
Freadrich, Kyle | Canada | 1999–2001
Froese, Byron | Canada | 2016–2017
Gagne, Simon | Canada | 2010–2011
Galanov, Maxim | Russia | 2000–2001
Gallant, Gerard | Canada | 1993–1995
Gardiner, Bruce | Canada | 1999–2000
Garrison, Jason | Canada | 2014–2017
Gaunce, Cameron | Canada | 2018–2019
Gavey, Aaron | Canada | 1995–1997
Gervais, Bruno | Canada | 2011–2012
Gilhen, Randy | Canada | 1992–1993
Gilroy, Matt | United States | 2011–2012
Girardi, Dan | Canada | 2017–2019
Goc, Sascha | Germany | 2001–2002
Gourde, Yanni | Canada | 2015–2019
Gratton, Chris | Canada | 1993–19971998–20002007–2009
Gretzky, Brent | Canada | 1993–1995
Gudas, Radko | Czech Republic | 2012–2015
Guolla, Steve | Canada | 1999–2000
Gusev, Sergei | Russia | 1998–2001
Hale, David | United States | 2009–2010
Halkidis, Bob | Canada | 1994–1996
Hall, Adam | United States | 2008–20092010–2013
Halpern, Jeff | United States | 2007–2010
Hamrlik, Roman | Czech Republic | 1992–1998
Hankinson, Ben | United States | 1994–1995
Harju, Johan | Sweden | 2010–2011
Hartman, Mike | United States | 1992–1993
Hay, Dwayne | Canada | 1999–2000
Hedman, Victor | Sweden | 2009–2019
Helbling, Timo | Switzerland | 2005–2006
Helenius, Sami | Finland | 1998–1999
Herbers, Ian | Canada | 1999–2000
Hervey, Matt | United States | 1992–1993
Heward, Jamie | Canada | 2008–2009
Hlavac, Jan | Czech Republic | 2007–2008
Hodge Jr., Ken | Canada | 1992–1993
Hogue, Benoit | Canada | 1998–1999
Holzinger, Brian | United States | 1999–2003
Houlder, Bill | Canada | 1995–19971999–2000
Hull, Jody | Canada | 1997–1998
Huscroft, Jamie | Canada | 1996–1998
Hutchinson, Andrew | United States | 2008–2009
Jackson, Scott | Canada | 2009–2010
Jancevski, Dan | Canada | 2007–2008
Janik, Doug | United States | 2006–2008
Janney, Craig | United States | 1998–1999
Johansson, Andreas | Sweden | 1999–2000
Johnson, Mike | Canada | 1999–2001
Johnson, Ryan | Canada | 1999–2001
Johnson, Tyler | United States | 2012–2019
Jokinen, Jussi | Finland | 2007–2009
Jones, Blair | Canada | 2006–2012
Jones, Randy | Canada | 2010–2011
Joseph, Chris | Canada | 1993–1994
