List of Toronto Maple Leafs players - Wikipedia
===============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Andersen, Frederik | Denmark | 2016–2019
Aubin, Jean-Sebastien | Canada | 2005–2007
Barrasso, Tom | United States | 2001–2002
Bastien, Baz | Canada | 1945–1946
Beaupre, Don | Canada | 1995–1997
Belfour, Ed | Canada | 2002–2006
Bell, Gord | Canada | 1945–1946
Bernier, Jonathan | Canada | 2013–2016
Bernhardt, Tim | Canada | 1984–1987
Bester, Allan | Canada | 1983–1991
Bibeau, Antoine | Canada | 2016–2017
Bibeault, Paul | Canada | 1943–1944
Bower, Johnny | Canada | 1958–1970
Broda, Turk | Canada | 1936–1952
Centomo, Sebastien | Canada | 2001–2002
Chabot, Lorne | Canada | 1928–1933
Chadwick, Ed | Canada | 1955–1960
Cheevers, Gerry | Canada | 1961–1962
Clemmensen, Scott | United States | 2007–2008
Cousineau, Marcel | Canada | 1996–1998
Crha, Jiri | Czech Republic | 1979–1981
Dowie, Bruce | Canada | 1983–1984
Edwards, Don | Canada | 1985–1986
Edwards, Marv | Canada | 1969–1970
Enroth, Jhonas | Sweden | 2016–2017
Favell, Doug | Canada | 1973–1976
Forbes, Vernon | Canada | 1919–1921
Fuhr, Grant | Canada | 1991–1993
Gamble, Bruce | Canada | 1965–1971
Gerber, Martin | Switzerland | 2008–2009
Giguere, Jean-Sebastien | Canada | 2009–2011
Grant, Benny | Canada | 1928–19301930–19321943–1944
Gustavsson, Jonas | Sweden | 2009–2012
Hainsworth, George | Canada | 1933–1937
Hamel, Pierre | Canada | 1974–1979
Harrison, Paul | Canada | 1978–1980
Healy, Glenn | Canada | 1997–2001
Hebert, Sammy | Canada | 1917–1918
Holmes, Harry | Canada | 1917–1919
Hutchinson, Michael | Canada | 2018–2019
Ing, Peter | Canada | 1989–1991
Ironstone, Joe | Canada | 1927–1928
Johnston, Eddie | Canada | 1973–1974
Joseph, Curtis | Canada | 1998–20022008–2009
Kidd, Trevor | Canada | 2002–2004
Laforest, Mark | Canada | 1989–1990
Larocque, Michel | Canada | 1980–1983
Lindsay, Bert | Canada | 1918–1919
Lockhart, Howard | Canada | 1919–19201923–1924
Low, Ron | Canada | 1972–1973
Lumley, Harry | Canada | 1952–1956
MacDonald, Joey | Canada | 2009–2010
MacIntyre, Drew | Canada | 2013–2014
Maniago, Cesare | Canada | 1960–1961
Marois, Jean | Canada | 1943–1944
Mayer, Gil | Canada | 1949–1956
McCool, Frank | Canada | 1944–1946
McElhinney, Curtis | Canada | 2016–2018
McLachlan, Murray | Canada | 1970–1971
McNamara, Gerry | Canada | 1960–19611969–1970
McRae, Gord | Canada | 1972–1978
Mitchell, Ivan | Canada | 1919–1922
Palmateer, Mike | Canada | 1976–1980
Parent, Bernie | Canada | 1970–1972
Parent, Bob | Canada | 1981–1983
Pickard, Calvin | Canada | 2017–2018
Plante, Jacques | Canada | 1970–1973
Pogge, Justin | Canada | 2008–2009
Potvin, Felix | Canada | 1991–1999
Puppa, Daren | Canada | 1992–1993
Raycroft, Andrew | Canada | 2006–2008
Reese, Jeff | Canada | 1987–19921998–1999
Reimer, James | Canada | 2010–2016
Rhodes, Damian | United States | 1990–1996
Ridley, Curt | Canada | 1979–1981
Roach, John | Canada | 1921–1928
Rollins, Al | Canada | 1949–1952
Rutherford, Jim | Canada | 1980–1981
Rynnas, Jussi | Finland | 2011–2013
Sawchuk, Terry | Canada | 1964–1967
Schwab, Corey | Canada | 2001–2002
Scrivens, Ben | Canada | 2011–2013
Simmons, Don | Canada | 1961–1964
Smith, Al | Canada | 1965–1969
Smith, Gary | Canada | 1965–1967
Sparks, Garret | United States | 2015–20172018–2019
St. Croix, Rick | Canada | 1982–1985
Stein, Phil | Canada | 1939–1940
Tellqvist, Mikael | Sweden | 2002–2007
Thomas, Wayne | Canada | 1975–1977
Tremblay, Vincent | Canada | 1979–1983
Toskala, Vesa | Finland | 2007–2010
Wamsley, Rick | Canada | 1991–1993
Wregget, Ken | Canada | 1983–1989
Wilson, Dunc | Canada | 1973–1975
Wilson, Ross | Canada | 1955–1956


Skaters
_______
Player Name     |     Nationality     |     Seasons
Abbott, Spencer | Canada | 2013–2014
Acomb, Doug | Canada | 1969–1970
Russ, Adam | Canada | 1982–1983
Adams, Jack | Canada | 1917–1926
Adams, Kevyn | United States | 1997–2000
Adams, Stewart | Canada | 1932–1933
Aldcorn, Gary | Canada | 1956–1959
Alexander, Claire | Canada | 1974–1977
Allison, Jason | Canada | 2005–2006
Allison, Mike | Canada | 1986–1988
Anderson, Glenn | Canada | 1991–1994
Anderson, John | Canada | 1977–1985
Andrews, Lloyd | Canada | 1921–1925
Andreychuk, Dave | Canada | 1992–1996
Andrusak, Greg | Canada | 1999–2000
Antropov, Nik | Kazakhstan | 1999–2009
Apps, Syl | Canada | 1936–1948
Arbour, Al | Canada | 1961–1966
Arbour, Amos | Canada | 1923–1924
Arbour, Jack | Canada | 1928–1929
Arcobello, Mark | United States | 2015–2016
Armstrong, Colby | Canada | 2010–2012
Armstrong, George | Canada | 1949–1971
Armstrong, Murray | Canada | 1937–1939
Armstrong, Norm | Canada | 1962–1963
Armstrong, Tim | Canada | 1988–1989
Arundel, John | Canada | 1949–1950
Ashby, Don | Canada | 1975–1979
Ashton, Carter | Canada | 2011–2015
Aubin, Norm | Canada | 1981–1983
Aulie, Keith | Canada | 2010–2012
Augusta, Patrik | Czech Republic | 1993–1994
Backor, Pete | Canada | 1944–1945
Bailey, Ace | Canada | 1926–1934
Bailey, Bob | Canada | 1953–1956
Bailey, Casey | United States | 2014–2015
Bailey, Reid | Canada | 1982–1983
Baker, Jamie | Canada | 1996–1998
Baldwin, Doug | Canada | 1945–1946
Balfour, Earl | Canada | 1951–1958
Barbe, Andy | Canada | 1950–1951
Barilko, Bill | Canada | 1946–1951
