List of Vancouver Canucks players - Wikipedia
=============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Alex Auld | Canada | 2001–2006
Richard Bachman | United States | 2015–20172018–2019
Murray Bannerman | Canada | 1977–1978
Martin Brochu | Canada | 2001–2002
Richard Brodeur | Canada | 1980–1988
Gary Bromley | Canada | 1978–1981
Bruce Bullock | Canada | 1972–1977
Sean Burke | Canada | 1997–1998
Frank Caprice | Canada | 1982–1988
Jacques Caron | Canada | 1973–1974
Dan Cloutier | Canada | 2000–2006
Thatcher Demko | United States | 2017–2019
Michael DiPietro | Canada | 2018–2019
Ed Dyck | Canada | 1971–1972
Ken Ellacott | Canada | 1982–1983
Bob Essensa | Canada | 2000–2001
Joacim Eriksson | Sweden | 2013–2014
Mike Fountain | Canada | 1996–1997
Troy Gamble | Canada | 1986–1992
George Gardner | Canada | 1970–1971
John Garrett | Canada | 1982–1985
Glen Hanlon | Canada | 1977–1982
Johan Hedberg | Sweden | 2003–2004
Rick Heinz | Canada | 1981–1982
Corey Hirsch | Canada | 1995–1998
Charlie Hodge | Canada | 1970–1971
Arturs Irbe | Latvia | 1997–1998
Jason LaBarbera | Canada | 2008–2009
Eddie Lack | Sweden | 2013–2015
Ken Lockett | Canada | 1974–1976
Roberto Luongo | Canada | 2006–2014
Drew MacIntyre | Canada | 2007–2008
Cesare Maniago | Canada | 1976–1978
Bob Mason | United States | 1990–1991
Jacob Markstrom | Sweden | 2013–2019
Steve McKichan | Canada | 1990–1991
Kirk McLean | Canada | 1987–1998
Dave McLelland | Canada | 1972–1973
Rob McVicar | Canada | 2005–2006
Alfie Michaud | Canada | 1999–2000
Ryan Miller | United States | 2014–2017
Tyler Moss | Canada | 2002–2003
Anders Nilsson | Sweden | 2017–2019
Mika Noronen | Finland | 2005–2006
Maxime Ouellet | Canada | 2005–2006
Felix Potvin | Canada | 1999–2001
Andrew Raycroft | Canada | 2009–2010
Curt Ridley | Canada | 1975–1980
Dany Sabourin | Canada | 2006–2007
Curtis Sanford | Canada | 2007–2009
Cory Schneider | United States | 2008–2013
Corey Schwab | Canada | 1999–2000
Peter Skudra | Latvia | 2001–2003
Gary Smith | Canada | 1973–1976
Garth Snow | United States | 1997–2000
Kevin Weekes | Canada | 1998–2000
Steve Weeks | Canada | 1987–1991
Kay Whitmore | Canada | 1992–1995
Dunc Wilson | Canada | 1970–19731978–1979
Wendell Young | Canada | 1985–1987


Skaters
_______
Player Name     |     Nationality     |     Seasons
Greg C. Adams | Canada | 1988–1989
Greg D. Adams | Canada | 1987–1995
Bruce Affleck | Canada | 1979–1980
Jim Agnew | Canada | 1986–1992
Andrew Alberts | United States | 2009–2014
Claire Alexander | Canada | 1977–1978
Bryan Allen | Canada | 2000–2006
Jonas Andersson | Sweden | 2010–2011
Shawn Antoski | Canada | 1990–1995
John Arbour | Canada | 1970–1971
Darren Archibald | Canada | 2013–20142017–2019
Magnus Arvedson | Sweden | 2003–2004
Brent Ashton | Canada | 1979–1981
Adrian Aucoin | Canada | 1994–2001
Dave Babych | Canada | 1991–1998
Sven Baertschi | Switzerland | 2014–2019
Peter Bakovic | Canada | 1987–1988
Jozef Balej | Slovakia | 2005–2006
Keith Ballard | United States | 2010–2013
Dave Balon | Canada | 1971–1973
Cam Barker | Canada | 2012–2013
Murray Baron | Canada | 1998–2003
Robin Bartell | Canada | 1986–1987
Matt Bartkowski | United States | 2015–2016
Nolan Baumgartner | Canada | 2002–20042005–20062009–2010
Robin Bawa | Canada | 1991–1992
Jay Beagle | Canada | 2018–2019
Kris Beech | Canada | 2007–2008
Jesse Belanger | Canada | 1995–1996
Neil Belland | Canada | 1981–1986
Jim Benning | Canada | 1986–1990
Josef Beranek | Czech Republic | 1994–1996
Drake Berehowsky | Canada | 2000–2003
Marc Bergevin | Canada | 2003–2004
Steve Bernier | Canada | 2008–2010
Ken Berry | Canada | 1987–1989
Todd Bertuzzi | Canada | 1997–2006
Alex Biega | Canada | 2014–2019
Kevin Bieksa | Canada | 2005–2015
Byron Bitz | Canada | 2011–2012
Rick Blight | Canada | 1975–1981
Mario Bliznak | Canada | 2009–2011
Ken Block | Canada | 1970–1971
Gregg Boddy | Canada | 1971–1976
Doug Bodger | Canada | 1999–2000
Brock Boeser | United States | 2016–2019
Lonny Bohonos | Canada | 1995–1998
