List of Washington Capitals players - Wikipedia
===============================================
Goaltenders
___________
Player Name     |     Nat.     |     Seasons
Adams, John | None | 1974–1975
Beaupre, Don | None | 1988–1994
Bedard, Jim | None | 1977–1979
Belhumeur, Michel | None | 1974–1976
Billington, Craig | None | 1999–2003
Boutin, Rollie | None | 1978–1981
Brochu, Martin | None | 1998–1999
Carey, Jim | None | 1994–1997
Cassivi, Frederic | None | 2005–2007
Charpentier, Sebastien | None | 2001–2004
Copley, Pheonix | None | 2018–2019
Crozier, Roger | None | 1976–1977
Dafoe, Byron | None | 1992–1995
Grubauer, Philipp | None | 2012–2018
Halak, Jaroslav | None | 2013–2014
Hirsch, Corey | None | 2000–2001
Holtby, Braden | None | 2010–present
Hrivnak, Jim | None | 1989–1993
Huet, Cristobal | None | 2007–2008
Inness, Gary | None | 1978–1981
Jensen, Al | None | 1981–1987
Johnson, Brent | None | 2005–2009
Kolzig, Olaf | None | 1989–2008
Liut, Mike | None | 1989–1992
Low, Ron | None | 1974–1977
Malarchuk, Clint | None | 1987–1989
Mason, Bob | None | 1983–19871989–1990
Moore, Robbie | None | 1982–1983
Neuvirth, Michal | None | 2008–2014
Ouellet, Maxime | None | 2003–2004
Palmateer, Mike | None | 1980–1982
Parro, Dave | None | 1980–1984
Peters, Justin | None | 2014–2016
Peeters, Pete | None | 1985–1989
Ranford, Bill | None | 1996–1998
Raymond, Alain | None | 1987–1988
Riggin, Pat | None | 1982–1986
Rosati, Mike | None | 1998–1999
Smith, Gary | None | 1977–1978
Stana, Rastislav | None | 2003–2004
Stephenson, Wayne | None | 1979–1981
Tabaracci, Rick | None | 1992–19951998–1999
Theodore, Jose | None | 2009–2010
Varlamov, Semyon | None | 2008–2011
Vokoun, Tomas | None | 2011–2012
Wolfe, Bernie | None | 1975–1979
Yeats, Matthew | None | 2003–2004


Skaters
_______
Player Name     |     Nat.     |     Seasons
Acton, Keith | None | 1993–1994
Adams, Greg | None | 1983–1988
Allison, Jason | None | 1993–1997
Alzner, Karl | None | 2008–2017
Anderson, Murray | None | 1974–1975
Anderson, Ron | None | 1974–1975
Anderson, Shawn | None | 1992–1994
Andersson, Peter | None | 1983–1986
Angelstad, Mel | None | 2003–2004
Arnason, Chuck | None | 1978–1979
Arnott, Jason | None | 2010–2011
Atkinson, Steve | None | 1974–1975
Aucoin, Keith | None | 2008–2012
Augusta, Patrik | None | 1998–1999
Babcock, Bob | None | 1990–19911992–1993
Backstrom, Nicklas | None | 2007–present
Bailey, Garnet | None | 1974–1978
Barber, Riley | None | 2016–2017
Barrett, John | None | 1985–1987
Battaglia, Bates | None | 2003–2004
Baumgartner, Nolan | None | 1995–19961997–2000
Bawa, Robin | None | 1989–1990
Beagle, Jay | None | 2008–2018
Beaudoin, Yves | None | 1985–1988
Beech, Kris | None | 2000–20012005–2007
Belanger, Eric | None | 2009–2010
Bellows, Brian | None | 1997–1999
Benda, Jan | None | 1997–1998
Bennett, Harvey | None | 1975–1977
Berezin, Sergei | None | 2002–2003
Bergeron, Michel | None | 1978–1979
Bergland, Tim | None | 1989–19921993–1994
Berry, Rick | None | 2002–2004
Berube, Craig | None | 1993–19992000–2001
Bidner, Todd | None | 1981–1982
Biron, Mathieu | None | 2005–2006
Black, James | None | 1998–2001
Blomqvist, Timo | None | 1981–1985
Bloom, Mike | None | 1974–1975
Blum, John | None | 1986–1987
Boileau, Patrick | None | 1996–19971998–19992001–2002
Bolonchuk, Larry | None | 1975–1978
Bondra, Peter | None | 1990–2004
Bouchard, Pierre | None | 1978–1982
Boumedienne, Josef | None | 2002–2004
Bourque, Chris | None | 2007–2010
Bowey, Madison | None | 2017–Present
Boyd, Travis | None | 2017–Present
Bradley, Matt | None | 2005–2011
Bragnalo, Rick | None | 1975–1979
Brashear, Donald | None | 2006–2009
Brooks, Gord | None | 1974–1975
Brossart, Willie | None | 1974–1976
Brouillette, Julien | None | 2013–2014
Brouwer, Troy | None | 2011–2015
Brown, Chris | None | 2013–2016
Brown, Jeff | None | 1997–1998
Brunette, Andrew | None | 1995–1998
Bulis, Jan | None | 1997–2001
Bulley, Ted | None | 1982–1983
Burakovsky, Andre | None | 2014–Present
Burridge, Randy | None | 1991–1995
Burton, Nelson | None | 1991–1995
Calder, Eric | None | 1981–1983
Camazzola, Tony | None | 1981–1982
Carey, Paul | None | 2015–2017
Carlson, John | None | 2009–Present
Carlson, Kent | None | 1988–1989
Carpenter, Bobby | None | 1981–19871992–1993
Carrick, Connor | None | 2013–2016
Carroll, Greg | None | 1978–1979
Carter, Anson | None | 1996–19972003–2004
Cassels, Andrew | None | 2005–2006
Cassolato, Tony | None | 1979–1982
Cavallini, Paul | None | 1986–19881992–1993
Chambers, Shawn | None | 1991–1992
Charron, Eric | None | 1995–1997
Charron, Guy | None | 1976–1981
Chasse, Denis | None | 1995–1996
Chiasson, Alex | None | 2017–2018
Chimera, Jason | None | 2009–2016
Chorney, Taylor | None | 2015–2018
Chorske, Tom | None | 1998–1999
Christian, Dave | None | 1983–1990
Church, Brad | None | 1997–1998
Ciccarelli, Dino | None | 1988–1992
Ciccone, Enrico | None | 1993–19941998–1999
Ciernik, Ivan | None | 2001–2004
Clark, Chris | None | 2005–2010
Clement, Bill | None | 1975–1976
Clippingdale, Steve | None | 1979–1980
Clymer, Ben | None | 2005–2007
Collins, Bill | None | 1976–1978
Collins, Sean | None | 2008–2012
Collins, Sean | None | 2015–2016
Connolly, Brett | None | 2016–present
Cooke, Matt | None | 2007–2008
Corrinet, Chris | None | 2001–2002
Corriveau, Yvon | None | 1985–1990
Corvo, Joe | None | 2009–2010
Cote, Alain | None | 1989–1990
Cote, Sylvain | None | 1991–19982000–2003
Coulis, Tim | None | 1979–1980
Courtnall, Geoff | None | 1988–1990
Cowick, Bruce | None | 1974–1975
Crabb, Joey | None | 2012–2013
Crawford, Bob | None | 1986–1987
Cronin, Shawn | None | 1988–1989
Curran, Brian | None | 1993–1994
Currie, Glen | None | 1979–1985
Cutta, Jakub | None | 2000–2004
Dahlen, Ulf | None | 1999–2002
Deschamps, Nicolas | None | 2013–2014
Djoos, Christian | None | 2017–Present
