List of American Championship Car winners - Wikipedia 
===================================================== 

National Championships chart 
============================ 
Driver     |     Nation     |     AAA (1905) (1916) (1920-1955)     |     USAC (1956-1979)     |     CART (1979-2003)     |     Champ Car World Series (2004-2007)     |     IRL IndyCar Series (1996-present)     |     Combined Total 
A. J. Foyt | United States | 0 | 7 | 0 | 0 | 0 | 7 
Scott Dixon | New Zealand | 0 | 0 | 0 | 0 | 5 | 5 
Mario Andretti | United States | 0 | 3 | 1 | 0 | 0 | 4 
Sébastien Bourdais | France | 0 | 0 | 0 | 4 | 0 | 4 
Dario Franchitti | United Kingdom | 0 | 0 | 0 | 0 | 4 | 4 
Louis Meyer | United States | 3 | 0 | 0 | 0 | 0 | 3 
Ted Horn | United States | 3 | 0 | 0 | 0 | 0 | 3 
Jimmy Bryan | United States | 1 | 2 | 0 | 0 | 0 | 3 
Rick Mears | United States | 0 | 0 | 3 | 0 | 0 | 3 
Al Unser | United States | 0 | 1 | 2 | 0 | 0 | 3 
Bobby Rahal | United States | 0 | 0 | 3 | 0 | 0 | 3 
Sam Hornish, Jr. | United States | 0 | 0 | 0 | 0 | 3 | 3 
James Anthony Murphy | United States | 2 | 0 | 0 | 0 | 0 | 2 
Peter DePaolo | United States | 2 | 0 | 0 | 0 | 0 | 2 
Wilbur Shaw | United States | 2 | 0 | 0 | 0 | 0 | 2 
Rex Mays | United States | 2 | 0 | 0 | 0 | 0 | 2 
Tony Bettenhausen | United States | 1 | 1 | 0 | 0 | 0 | 2 
Rodger Ward | United States | 0 | 2 | 0 | 0 | 0 | 2 
Joe Leonard | United States | 0 | 2 | 0 | 0 | 0 | 2 
Bobby Unser | United States | 0 | 2 | 0 | 0 | 0 | 2 
Tom Sneva | United States | 0 | 2 | 0 | 0 | 0 | 2 
Al Unser, Jr. | United States | 0 | 0 | 2 | 0 | 0 | 2 
Alex Zanardi | Italy | 0 | 0 | 2 | 0 | 0 | 2 
Gil de Ferran | Brazil | 0 | 0 | 2 | 0 | 0 | 2 
Barney Oldfield | United States | 1 | 0 | 0 | 0 | 0 | 1 
Dario Resta | United Kingdom | 1 | 0 | 0 | 0 | 0 | 1 
Gaston Chevrolet | France | 1 | 0 | 0 | 0 | 0 | 1 
Tommy Milton | United States | 1 | 0 | 0 | 0 | 0 | 1 
Eddie Hearne | United States | 1 | 0 | 0 | 0 | 0 | 1 
Harry Hartz | United States | 1 | 0 | 0 | 0 | 0 | 1 
Billy Arnold (racing driver) | United States | 1 | 0 | 0 | 0 | 0 | 1 
Louis Schneider | United States | 1 | 0 | 0 | 0 | 0 | 1 
Bob Carey (racecar driver) | United States | 1 | 0 | 0 | 0 | 0 | 1 
Bill Cummings (racing driver) | United States | 1 | 0 | 0 | 0 | 0 | 1 
Kelly Petillo | United States | 1 | 0 | 0 | 0 | 0 | 1 
Mauri Rose | United States | 1 | 0 | 0 | 0 | 0 | 1 
Floyd Roberts | United States | 1 | 0 | 0 | 0 | 0 | 1 
Johnnie Parsons | United States | 1 | 0 | 0 | 0 | 0 | 1 
Henry Banks | United States | 1 | 0 | 0 | 0 | 0 | 1 
Chuck Stevenson | United States | 1 | 0 | 0 | 0 | 0 | 1 
Sam Hanks | United States | 1 | 0 | 0 | 0 | 0 | 1 
Bob Sweikert | United States | 1 | 0 | 0 | 0 | 0 | 1 
Roger McCluskey | United States | 0 | 1 | 0 | 0 | 0 | 1 
Gordon Johncock | United States | 0 | 1 | 0 | 0 | 0 | 1 
Johnny Rutherford (driver) | United States | 0 | 0 | 1 | 0 | 0 | 1 
Danny Sullivan | United States | 0 | 0 | 1 | 0 | 0 | 1 
Emerson Fittipaldi | Brazil | 0 | 0 | 1 | 0 | 0 | 1 
Nigel Mansell | United Kingdom | 0 | 0 | 1 | 0 | 0 | 1 
Michael Andretti | United States | 0 | 0 | 1 | 0 | 0 | 1 
Jacques Villeneuve | Canada | 0 | 0 | 1 | 0 | 0 | 1 
Jimmy Vasser | United States | 0 | 0 | 1 | 0 | 0 | 1 
Scott Sharp | United States | 0 | 0 | 0 | 0 | 1 | 1 
Buzz Calkins | United States | 0 | 0 | 0 | 0 | 1 | 1 
Tony Stewart | United States | 0 | 0 | 0 | 0 | 1 | 1 
Kenny Bräck | Sweden | 0 | 0 | 0 | 0 | 1 | 1 
Juan Pablo Montoya | Colombia | 0 | 0 | 1 | 0 | 0 | 1 
Greg Ray | United States | 0 | 0 | 0 | 0 | 1 | 1 
Buddy Lazier | United States | 0 | 0 | 0 | 0 | 1 | 1 
Cristiano da Matta | Brazil | 0 | 0 | 1 | 0 | 0 | 1 
Paul Tracy | Canada | 0 | 0 | 1 | 0 | 0 | 1 
Tony Kanaan | Brazil | 0 | 0 | 0 | 0 | 1 | 1 
Dan Wheldon | United Kingdom | 0 | 0 | 0 | 0 | 1 | 1 
Ryan Hunter-Reay | United States | 0 | 0 | 0 | 0 | 1 | 1 
Will Power | Australia | 0 | 0 | 0 | 0 | 1 | 1 
Simon Pagenaud | France | 0 | 0 | 0 | 0 | 1 | 1 
Josef Newgarden | United States | 0 | 0 | 0 | 0 | 1 | 1 


Total player: 66 

Race wins chart 
=============== 
Driver     |     Nation     |     AAA (1905) (1916) (1920-1955)     |     AAA 1946 Big Car     |     USAC (1956-1979)     |     CART (1979-2003)     |     Champ Car World Series (2004-2007)     |     IRL IndyCar Series (1996-present)     |     Combined Total 
A. J. Foyt | United States | 0 | 0 | 67 | 0 | 0 | 0 | 67 
Mario Andretti | United States | 0 | 0 | 33 | 19 | 0 | 0 | 52 
Scott Dixon | New Zealand | 0 | 0 | 0 | 1 | 0 | 44 | 45 
Michael Andretti | United States | 0 | 0 | 0 | 42 | 0 | 0 | 42 
Al Unser | United States | 0 | 0 | 36 | 3 | 0 | 0 | 39 
Sébastien Bourdais | France | 0 | 0 | 0 | 3 | 28 | 6 | 37 
Bobby Unser | United States | 0 | 0 | 25 | 10 | 0 | 0 | 35 
Will Power | Australia | 0 | 0 | 0 | 0 | 2 | 33 | 35 
Al Unser, Jr. | United States | 0 | 0 | 2 | 29 | 0 | 3 | 34 
Paul Tracy | Canada | 0 | 0 | 0 | 26 | 5 | 0 | 31 
Dario Franchitti | United Kingdom | 0 | 0 | 0 | 10 | 0 | 21 | 31 
Hélio Castroneves | Brazil | 0 | 0 | 0 | 6 | 0 | 24 | 30 
Rick Mears | United States | 0 | 0 | 7 | 22 | 0 | 0 | 29 
Johnny Rutherford | United States | 0 | 0 | 17 | 10 | 0 | 0 | 27 
Rodger Ward | United States | 2 | 0 | 24 | 0 | 0 | 0 | 26 
Gordon Johncock | United States | 0 | 0 | 20 | 5 | 0 | 0 | 25 
Ted Horn | United States | 5 | 19 | 0 | 0 | 0 | 0 | 24 
Bobby Rahal | United States | 0 | 0 | 1 | 23 | 0 | 0 | 24 
Emerson Fittipaldi | Brazil | 0 | 0 | 2 | 20 | 0 | 0 | 22 
Tony Bettenhausen | United States | 19 | 0 | 3 | 0 | 0 | 0 | 22 
Bill Holland | United States | 3 | 18 | 0 | 0 | 0 | 0 | 21 
Sam Hornish, Jr. | United States | 0 | 0 | 0 | 0 | 0 | 19 | 19 
Jimmy Bryan | United States | 12 | 0 | 7 | 0 | 0 | 0 | 19 
Ryan Hunter-Reay | United States | 0 | 0 | 0 | 1 | 1 | 16 | 18 
Danny Sullivan | United States | 0 | 0 | 1 | 16 | 0 | 0 | 17 
James Anthony Murphy | United States | 17 | 0 | 0 | 0 | 0 | 0 | 17 
Tony Kanaan | Brazil | 0 | 0 | 0 | 1 | 0 | 16 | 17 
Dan Wheldon | United Kingdom | 0 | 0 | 0 | 0 | 0 | 16 | 16 
Alex Zanardi | Italy | 0 | 0 | 0 | 15 | 0 | 0 | 15 
Juan Pablo Montoya | Colombia | 0 | 0 | 0 | 10 | 0 | 5 | 15 
Tom Sneva | United States | 0 | 0 | 4 | 9 | 0 | 0 | 13 
Simon Pagenaud | France | 0 | 0 | 0 | 0 | 0 | 13 | 13 
Josef Newgarden | United States | 0 | 0 | 0 | 0 | 0 | 13 | 13 
Tommy Milton | United States | 12 | 0 | 0 | 0 | 0 | 0 | 12 
Gil de Ferran | Brazil | 0 | 0 | 0 | 7 | 0 | 5 | 12 
Cristiano da Matta | Brazil | 0 | 0 | 0 | 11 | 1 | 0 | 12 
Adrian Fernández | Mexico | 0 | 0 | 0 | 8 | 0 | 3 | 11 
Johnnie Parsons | United States | 11 | 0 | 0 | 0 | 0 | 0 | 11 
Jimmy Vasser | United States | 0 | 0 | 0 | 10 | 0 | 0 | 10 
Pete DePaolo | United States | 10 | 0 | 0 | 0 | 0 | 0 | 10 
Kenny Bräck | Sweden | 0 | 0 | 0 | 5 | 0 | 4 | 9 
Scott Sharp | United States | 0 | 0 | 0 | 0 | 0 | 9 | 9 
Frank Lockhart (racing driver) | United States | 9 | 0 | 0 | 0 | 0 | 0 | 9 
Bruno Junqueira | Brazil | 0 | 0 | 0 | 5 | 3 | 0 | 8 
Rex Mays | United States | 8 | 0 | 0 | 0 | 0 | 0 | 8 
Buddy Lazier | United States | 0 | 0 | 0 | 0 | 0 | 8 | 8 
Ryan Briscoe | Australia | 0 | 0 | 0 | 0 | 0 | 8 | 8 
Eddie Sachs | United States | 0 | 0 | 8 | 0 | 0 | 0 | 8 
Louis Meyer | United States | 7 | 0 | 0 | 0 | 0 | 0 | 7 
Arie Luyendyk | Netherlands | 0 | 0 | 1 | 2 | 0 | 4 | 7 
Dan Gurney | United States | 0 | 0 | 7 | 0 | 0 | 0 | 7 
Lloyd Ruby | United States | 0 | 0 | 7 | 0 | 0 | 0 | 7 
Johnny Thomson | United States | 1 | 0 | 6 | 0 | 0 | 0 | 7 
Harry Hartz | United States | 7 | 0 | 0 | 0 | 0 | 0 | 7 
Justin Wilson (racing driver) | United Kingdom | 0 | 0 | 0 | 0 | 4 | 3 | 7 
Joie Chitwood | United States | 0 | 7 | 0 | 0 | 0 | 0 | 7 
Alexander Rossi | United States | 0 | 0 | 0 | 0 | 0 | 7 | 7 
Ralph DePalma | Kingdom of Italy | 6 | 0 | 0 | 0 | 0 | 0 | 6 
George Robson (racing driver) | United States | 1 | 5 | 0 | 0 | 0 | 0 | 6 
Don Branson | United States | 0 | 0 | 6 | 0 | 0 | 0 | 6 
Parnelli Jones | United States | 0 | 0 | 6 | 0 | 0 | 0 | 6 
Joe Leonard | United States | 0 | 0 | 6 | 0 | 0 | 0 | 6 
Danny Ongais | United States | 0 | 0 | 6 | 0 | 0 | 0 | 6 
Wilbur Shaw | United States | 6 | 0 | 0 | 0 | 0 | 0 | 6 
Bill Cummings (racing driver) | United States | 6 | 0 | 0 | 0 | 0 | 0 | 6 
Mauri Rose | United States | 6 | 0 | 0 | 0 | 0 | 0 | 6 
