New York Red Bulls - Wikipedia 
============================== 

No.   |   Position        |        Player      |      Nation
                                                            
3 | Defender | Amro Tarek | Egypt
5 | Defender | Connor Lade | United States
6 | Defender | Kyle Duncan | United States
7 | Midfielder | Derrick Etienne | Haiti
8 | Midfielder | Jean-Christophe Koffi | Ivory Coast
9 | Midfielder | Andreas Ivan | Romania
10 | Midfielder | Alejandro Gamarra | Paraguay
11 | Midfielder | Marcus Epps | United States
15 | Defender | Sean Nealis | United States
17 | Midfielder | Ben Mines | United States
18 | Goalkeeper | Ryan Meara | United States
19 | Midfielder | Alex Muyl | United States
21 | Midfielder | Omir Fernandez | United States
22 | Midfielder | Florian Valot | France
23 | Midfielder | Cristian Cásseres | Venezuela
24 | Goalkeeper | Evan Louro | United States
25 | Forward | Mathias Jørgensen | Denmark
26 | Defender | Tim Parker | United States
27 | Midfielder | Sean Davis | United States
31 | Goalkeeper | Luis Robles | United States
33 | Defender | Aaron Long | United States
42 | Forward | Brian White | United States
62 | Defender | Michael Amir Murillo | Panama
74 | Forward | Tom Barlow | United States
77 | Midfielder | Daniel Royer | Austria
88 | Midfielder | Vincent Bezecourt | France
90 | Midfielder | Marc Rzatkowski | Germany
92 | Defender | Kemar Lawrence | Jamaica
99 | Forward | Bradley Wright-Phillips | England


Total player: 29
