List of male singles tennis players - Wikipedia 
=============================================== 

Name    |    Birth     |     Death     |     Nationality           |           Criteria for inclusion
                                                                                                     
Robert Abdesselam | 1920 | 2006 | France | 1949 French Championships quarterfinalist
José Acasuso | 1982 | – | Argentina | Ranked world no. 20 in 2006
András Ádám-Stolpa | 1921 | 2010 | Hungary | 1947 French Championships quarterfinalist
Andre Agassi | 1970 | – | United States | 
Ronald Agénor | 1964 | – | Haiti | 1989 French Open singles quarterfinalist • ranked world no. 22 in 1989
Juan Aguilera | 1962 | – | Spain | Ranked world no. 7 in 1984
Roberto Bautista Agut | 1988 | – | Spain | Ranked world no. 13 in 2016 • 2016 Olympics quarterfinals
Karim Alami | 1973 | – | Morocco | Ranked world no. 25 in 2000
Fred Alexander | 1880 | 1969 | United States | 
John Alexander | 1951 | – | Australia | 1977 (December) Australian Open semifinalist • ranked world no. 8 in 1975
Wilmer Allison, Jr. | 1904 | 1977 | United States | 
Nicolás Almagro | 1985 | – | Spain | 2008/2010/2012 French Open quarterfinalist •2013 Australian Open quarterfinalist• ranked world no. 9 in 2011
Manuel Alonso | 1895 | 1984 | Spain | 1921 Wimbledon semifinalist • 1922, 1923, 1925 and 1927 United States quarterfinalist • rated world no. 5 in 1927
Felicisimo Ampon | 1920 | 1997 | Philippines | 1952, 1953 French Championships singles quarterfinalist
Vijay Amritraj | 1953 | – | India | 1973 and 1981 Wimbledon quarterfinalist • 1973 and 1974 U.S. Open quarterfinalist • ranked world no. 16 in 1980
Mario Ančić | 1984 | – | Croatia | 2004 Wimbledon semifinalist • 2006 French Open and Wimbledon quarterfinalist • ranked world no. 7 in 2006
James Anderson | 1894 | 1973 | Australia | 
Kevin Anderson | 1986 | – | South Africa | 2018 Wimbledon finalist • 2017 US Open finalist • ranked world no. 5 in 2018
Mal Anderson | 1935 | – | Australia | 
Igor Andreev | 1983 | – | Russia | 2007 French Open quarterfinalist • ranked world no. 18 in 2008
John Andrews | 1952 | – | United States | 1975 French Open quarterfinalist
Matt Anger | 1963 | – | United States | Ranked world no. 23 in 1986
Paul Annacone | 1963 | – | United States | 1984 Wimbledon quarterfinalist • ranked world no. 12 in 1986
Hicham Arazi | 1973 | – | Morocco | 1997 and 1998 French Open quarterfinalist • 2000 and 2004 Australian Open quarterfinalist • ranked world no. 22 in 2001
Jimmy Arias | 1964 | – | United States | 1983 U.S. Open semifinalist • 1984 French Open quarterfinalist • ranked world no. 5 in 1984
Jordi Arrese | 1964 | – | Spain | 1992 Olympic silver medalist • ranked world no. 23 in 1991
József Asbóth | 1917 | 1986 | Hungary | 
Arthur Ashe | 1943 | 1993 | United States | 
Bunny Austin | 1906 | 2000 | United Kingdom | 1932 and 1938 Wimbledon finalist, 1936 and 1937 semifinalist, 1931, 1933, 1934 and 1935 quarterfinalist • 1937 French finalist, 1935 semifinalist, 1934 and 1936 quarterfinalist • 1929 Australian quarterfinalist (U.S. National drawsheets prior to 1933 unavailable) • rated world no. 4 in 1938
Luis Ayala | 1932 | – | Chile | 1958 and 1960 French finalist, 1959 semifinalist • 1957 and 1959 United States quarterfinalist • 1959 Wimbledon quarterfinalist • ranked world no. 5 in 1958
Wilfred Baddeley | 1872 | 1929 | United Kingdom | 
Marcos Baghdatis | 1985 | – | Cyprus | 2006 Australian Open finalist • 2006 Wimbledon semifinalist • ranked world no. 8 in 2006
Corrado Barazzutti | 1953 | – | Italy | 1977 U.S. Open semifinalist • 1978 French Open semifinalist • 1980 French Open quarterfinalist • ranked world no. 7 in 1978
Herbert Roper Barrett | 1873 | 1943 | United Kingdom | 1908, 1909 and 1911 Wimbledon finalist • 1908 Olympic gold medalist singles
Pierre Barthès | 1941 | – | France | Ranked a world top-20 player for 1971
Alfred Beamish | 1879 | 1944 | United Kingdom | 1912 Australasian championships singles finalist
Boris Becker | 1967 | – | West Germany | 
Karl Behr | 1885 | 1949 | United States | 1906 U.S. Championship finalist
Mike Belkin | 1945 | – | Canada | 1968 Australian Championships quarterfinalist
Thomaz Bellucci | 1987 | – | Brazil | Ranked world no. 21 in 2010
Eduardo Bengoechea | 1959 | – | Argentina | Ranked world no. 21 in 1987
Julien Benneteau | 1981 | – | France | 2006 French Open singles quarterfinalist • ranked world no. 25 in 2014
Alberto Berasategui | 1973 | – | Spain | 1994 French Open finalist • 1998 Australian Open quarterfinalist • ranked world no. 7 in 1994
Tomáš Berdych | 1985 | – | Czech Republic | 2010 Wimbledon finalist, 2016 semifinalist, 2007/2013 quarterfinalist • 2014/2015 Australian Open semifinalist, 2011/2012/2013/2016 quarterfinalist • 2010 French Open semifinalist, 2014/2016 quarterfinalist • 2012 U.S. Open semifinalist, 2014 quarterfinalist • 2011 Tour Finals semifinalist • ranked world no. 4 in 2015
Lennart Bergelin | 1925 | 2008 | Sweden | 1946/1948/1951 Wimbledon quarterfinalist
Jay Berger | 1966 | – | United States | 1989 U.S. Open quarterfinalist • 1989 French Open quarterfinalist • ranked world no. 7 in 1990
Christian Bergström | 1967 | – | Sweden | 1993 Australian Open quarterfinalist
Marcel Bernard | 1914 | 1994 | France | 
Paolo Bertolucci | 1951 | – | Italy | 1973 French Open quarterfinalist • ranked world no. 12 in 1973
Henry Billington | 1909 | 1980 | United Kingdom | 1939 French Championships quarterfinalist
Jonas Björkman | 1972 | – | Sweden | 1997 U.S. Open semifinalist • 2006 Wimbledon semifinalist, 2003 quarterfinalist • 1998/2002 Australian Open quarterfinalist • ranked world no. 4 in 1997
Byron Black | 1969 | – | Zimbabwe | 1995 U.S. Open quarterfinalist • 2000 Wimbledon quarterfinalist • ranked world no. 22 in 1996
James Blake | 1979 | – | United States | 2005/2006 U.S. Open quarterfinalist • 2008 Australian Open quarterfinalist • 2006 Tour Finals finalist • ranked world no. 4 in 2006
Galo Blanco | 1976 | – | Spain | 1997 French Open quarterfinalist
Arnaud Boetsch | 1969 | – | France | Ranked world no. 12 in 1996
Björn Borg | 1956 | – | Sweden | 
Jean Borotra | 1898 | 1994 | France | 
Jeff Borowiak | 1949 | – | United States | Ranked world no. 25 in 1977
William Bowrey | 1943 | – | Australia | 
Christian Boussus | 1908 | 2003 | France | 1931 French Championships singles finalist, 1928 Wimbledon singles semifinalist
Jacques Brichant | 1930 | 2011 | Belgium | 1958 French Championships singles semifinalist
Godfrey Brinley | 1864 | 1939 | United States | 1885 U.S. Championships singles finalist
John Bromwich | 1918 | 1999 | Australia | 
Norman Brookes | 1877 | 1968 | Australia | 
Geoff Brown | 1924 | – | United Kingdom | 1946 Wimbledon finalist, 1947 quarterfinalist • rated world no. 3 amateur in 1946
Tom Brown | 1922 | 2011 | United States | 1946 United States finalist • 1947 Wimbledon finalist, 1946 semifinalist, 1948 quarterfinalist
Sergi Bruguera | 1971 | – | Spain | 
Butch Buchholz | 1940 | – | United States | 1960 U.S. National semifinalist; 1969 U.S. Open quarterfinalist • 1960 and 1969 Wimbledon quarterfinalist  • 1969 Australian Open quarterfinalist • ranked world no. 5 amateur in 1960
Don Budge | 1915 | 2000 | United States | 
Pablo Carreño Busta | 1991 | – | Spain | Ranked world no. 10 in 2017 ◌ Singles: 2017 U.S. Open semifinalist • 2017 French Open quarterfinalist
Darren Cahill | 1965 | – | Australia | Ranked world no. 22 in 1989 ◌ Singles: 1988 U.S. Open semifinalist •
Oliver Campbell | 1871 | 1953 | United States | 
Agustín Calleri | 1976 | – | Argentina | Ranked world no. 16 in 2003
Omar Camporese | 1968 | – | Italy | Ranked world no. 18 in 1992
Francesco Cancellotti | 1963 | – | Italy | Ranked world no. 21 in 1985
Guillermo Cañas | 1977 | – | Argentina | Ranked world no. 8 in 2005 ◌ Singles: 2002/2005/2007 French Open quarterfinalist
Cristiano Caratti | 1970 | – | Italy | Ranked world no. 26 in 1991 ◌ Singles: 1991 Australian Open quarterfinalist
Kent Carlsson | 1968 | – | Sweden | Ranked world no. 6 in 1988
